Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",42.31%,104,"$31,922,906",27.59%,9.10%
Education,63.00%,100,"$64,249,833",9.05%,-10.36%
Environment and animals,38.16%,76,"$23,220,295",24.65%,13.51%
Health,74.16%,89,"$130,787,812",7.84%,-14.77%
Hospitals,42.86%,14,"$45,936,995",6.34%,0.90%
Human services,64.98%,237,"$358,997,996",8.41%,-10.15%
"International, foreign affairs",55.56%,9,"$14,730,860",14.71%,-22.62%
"Public, societal benefit",66.04%,53,"$88,608,136",12.92%,-11.26%
Religion-related,16.67%,6,"$781,123",22.23%,18.76%
Unclassified,69.33%,238,"$718,364,983",6.64%,-10.61%
Universities,45.45%,11,"$51,188,684",10.93%,0.07%
Total,61.15%,937,"$1,528,789,623",10.59%,-7.86%
