Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",79.07%,43,"$17,633,285",9.92%,-18.21%
Education,70.37%,54,"$108,144,443",7.87%,-16.28%
Environment and animals,59.26%,27,"$10,042,881",10.03%,-7.56%
Health,87.69%,65,"$182,488,719",6.09%,-42.23%
Hospitals,75.00%,16,"$31,064,190",3.65%,-4.32%
Human services,74.07%,162,"$152,675,582",7.87%,-31.58%
"International, foreign affairs",66.67%,3,"$1,342,549",7.20%,-65.62%
Mutual/membership benefit,0.00%,1,"$500,000",89.93%,11.27%
"Public, societal benefit",80.00%,65,"$150,659,374",2.89%,-54.62%
Religion-related,61.90%,21,"$7,808,368",6.52%,-8.44%
Unclassified,73.83%,149,"$420,613,783",3.79%,-28.96%
Universities,85.71%,7,"$35,807,809",0.82%,-14.67%
Total,75.04%,613,"$1,118,780,983",5.83%,-26.56%
