Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Colorado,60.13%,"2,704","$3,787,594,458",11.37%,-6.75%
Adams County,60.20%,98,"$101,165,984",10.12%,-6.48%
Alamosa County,82.61%,23,"$37,979,042",8.15%,-30.25%
Arapahoe County,54.19%,179,"$233,353,420",9.82%,-2.07%
Archuleta County,42.86%,14,"$2,816,356",37.19%,8.71%
Bent County,50.00%,4,"$504,784",27.45%,-25.15%
Boulder County,59.34%,241,"$444,361,839",10.80%,-4.92%
Broomfield County,50.00%,26,"$9,490,794",9.92%,-0.23%
Chaffee County,45.45%,22,"$7,849,824",18.86%,3.99%
Cheyenne County,0.00%,1,"$368,519",94.55%,34.80%
Clear Creek County,87.50%,8,"$1,037,800",-4.77%,-22.40%
Conejos County,100.00%,3,"$253,281",9.43%,-10.41%
Costilla County,100.00%,3,"$1,831,267",16.37%,-9.10%
Crowley County,100.00%,2,"$465,111",10.48%,-86.39%
Custer County,80.00%,5,"$83,509",-1.09%,-8.47%
Delta County,68.75%,16,"$2,167,217",11.57%,-4.95%
Denver County,67.92%,636,"$1,157,385,611",10.59%,-15.61%
Dolores County,100.00%,2,"$167,996",5.15%,-26.91%
Douglas County,55.07%,69,"$48,012,222",10.70%,-3.56%
Eagle County,37.93%,58,"$25,248,805",18.10%,8.86%
El Paso County,53.66%,246,"$252,975,354",11.99%,-1.75%
Elbert County,50.00%,2,"$570,375",17.95%,9.41%
Fremont County,50.00%,12,"$5,257,028",16.02%,-7.11%
Garfield County,61.11%,54,"$29,899,664",9.19%,-7.81%
Gilpin County,100.00%,1,"$268,109",-28.90%,-90.96%
Grand County,56.25%,16,"$2,329,265",19.58%,-1.25%
Gunnison County,45.71%,35,"$7,404,225",26.54%,2.85%
Hinsdale County,33.33%,3,"$146,124",30.79%,21.94%
Huerfano County,75.00%,4,"$1,309,391",3.92%,-37.53%
Jackson County,100.00%,2,"$322,079",2.20%,-51.54%
Jefferson County,53.89%,180,"$840,222,705",12.16%,-3.17%
Kiowa County,100.00%,2,"$594,765",7.30%,-56.62%
Kit Carson County,66.67%,6,"$195,530",-3.42%,-12.82%
La Plata County,61.82%,55,"$62,582,174",12.73%,-11.39%
Lake County,50.00%,8,"$2,543,549",23.23%,2.09%
Larimer County,58.39%,137,"$117,797,575",11.83%,-4.64%
Las Animas County,53.85%,13,"$1,988,200",6.27%,-2.51%
Lincoln County,83.33%,6,"$2,353,118",5.31%,-68.48%
Logan County,72.73%,11,"$4,147,871",12.68%,-28.42%
Mesa County,62.50%,56,"$46,794,184",16.31%,-6.28%
Mineral County,100.00%,3,"$506,993",4.03%,-10.39%
Moffat County,60.00%,5,"$1,151,125",0.96%,-30.23%
Montezuma County,47.83%,23,"$9,958,398",24.93%,0.36%
Montrose County,67.74%,31,"$25,945,089",14.71%,-17.57%
Morgan County,75.00%,8,"$2,905,684",6.47%,-33.83%
Otero County,84.62%,13,"$19,021,222",5.80%,-22.69%
Ouray County,44.44%,9,"$27,127,199",28.30%,0.22%
Park County,75.00%,8,"$4,103,841",-0.21%,-43.17%
Phillips County,50.00%,2,"$73,208",15.80%,-18.46%
Pitkin County,54.35%,46,"$15,530,905",12.59%,-2.21%
Prowers County,80.00%,10,"$6,152,805",15.14%,-7.85%
Pueblo County,59.70%,67,"$61,652,050",11.65%,-7.10%
Rio Blanco County,28.57%,7,"$687,723",40.04%,19.16%
Rio Grande County,77.78%,9,"$9,296,848",6.75%,-30.53%
Routt County,61.70%,47,"$20,539,333",12.13%,-7.87%
Saguache County,85.71%,7,"$2,756,327",4.57%,-71.37%
San Juan County,100.00%,3,"$1,005,001",1.54%,-21.96%
San Miguel County,62.07%,29,"$9,163,879",15.42%,-9.35%
Summit County,56.82%,44,"$23,944,011",13.47%,-5.77%
Teller County,53.33%,15,"$3,355,601",15.20%,-2.65%
Washington County,100.00%,1,"$78,310",4.99%,-16.16%
Weld County,52.08%,48,"$85,873,850",14.81%,-3.94%
Yuma County,100.00%,10,"$2,520,390",-1.03%,-31.39%
