Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,68.35%,692,"$73,990,985",11.17%,-17.31%
$10M or more,68.99%,345,"$4,132,854,887",5.91%,-8.46%
$1M to $4.9M,71.95%,738,"$736,763,929",7.98%,-17.83%
$500K to $999K,68.31%,385,"$117,405,115",8.02%,-16.08%
$5M to $9.9M,70.00%,250,"$750,453,842",8.53%,-16.05%
Less than $100K,67.57%,185,"$7,638,473",14.61%,-16.84%
Total,69.56%,"2,595","$5,819,107,231",8.60%,-15.76%
