Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Delaware,73.67%,528,"$1,276,146,695",9.98%,-27.86%
Congressional district (at large),73.67%,528,"$1,276,146,695",9.98%,-27.86%
