Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",60.35%,285,"$123,942,217",12.00%,-6.15%
Education,54.09%,257,"$209,040,959",14.98%,-3.12%
Environment and animals,46.96%,115,"$108,108,910",20.25%,1.91%
Health,70.03%,287,"$262,327,220",9.14%,-15.00%
Hospitals,45.45%,22,"$151,223,976",2.87%,0.43%
Human services,68.33%,843,"$669,302,214",9.91%,-17.63%
"International, foreign affairs",60.29%,68,"$908,810,869",6.34%,-11.30%
"Public, societal benefit",68.06%,263,"$947,626,899",10.81%,-20.74%
Religion-related,61.19%,67,"$58,479,724",8.01%,-3.75%
Unclassified,66.36%,645,"$1,521,085,096",9.17%,-11.71%
Universities,54.29%,35,"$304,534,489",6.48%,-1.19%
Total,64.43%,"2,887","$5,264,482,573",10.25%,-10.30%
