Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,73.98%,"1,299","$163,323,725",6.13%,-25.96%
$10M or more,66.37%,556,"$15,560,522,063",5.88%,-6.99%
$1M to $4.9M,73.48%,"1,082","$1,157,556,442",8.39%,-20.01%
$500K to $999K,68.78%,663,"$179,209,067",8.15%,-17.14%
$5M to $9.9M,77.95%,322,"$961,067,659",5.61%,-20.67%
Less than $100K,58.25%,194,"$12,537,046",26.82%,-8.08%
Total,71.55%,"4,116","$18,034,216,002",7.12%,-17.86%
