Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
New York,69.52%,"8,947","$31,563,360,767",8.35%,-13.02%
Albany County,75.75%,268,"$2,416,310,483",6.08%,-19.25%
Allegany County,93.10%,29,"$51,695,515",2.18%,-37.98%
Bronx County,84.20%,348,"$2,272,517,049",4.78%,-29.64%
Broome County,74.74%,95,"$86,289,519",7.08%,-17.46%
Cattaraugus County,72.73%,44,"$58,357,343",8.11%,-32.60%
Cayuga County,78.05%,41,"$133,706,446",10.08%,-19.56%
Chautauqua County,74.71%,87,"$62,108,847",11.73%,-15.06%
Chemung County,64.29%,42,"$42,230,546",8.75%,-8.11%
Chenango County,88.89%,18,"$21,563,962",11.52%,-16.59%
Clinton County,73.17%,41,"$39,878,772",5.92%,-14.76%
Columbia County,61.54%,65,"$21,722,705",16.10%,-4.05%
Cortland County,62.07%,29,"$30,174,762",18.68%,-5.61%
Delaware County,75.61%,41,"$53,246,645",6.82%,-22.88%
Dutchess County,59.70%,134,"$129,554,232",10.03%,-5.18%
Erie County,76.76%,413,"$656,999,137",7.34%,-13.55%
Essex County,65.00%,40,"$19,193,483",6.38%,-17.13%
Franklin County,65.85%,41,"$41,258,738",5.31%,-18.97%
Fulton County,70.00%,20,"$13,701,558",9.20%,-9.23%
Genesee County,76.00%,25,"$15,428,332",20.05%,-41.55%
Greene County,82.14%,28,"$8,151,000",-1.05%,-46.70%
Hamilton County,42.86%,7,"$3,403,022",25.92%,0.76%
Herkimer County,72.73%,22,"$6,012,527",11.07%,-13.48%
Jefferson County,77.27%,66,"$82,323,692",6.14%,-21.25%
Kings County,72.62%,873,"$3,279,611,340",8.05%,-16.35%
Lewis County,80.00%,20,"$6,975,187",9.02%,-24.39%
Livingston County,76.47%,17,"$33,041,999",4.40%,-25.34%
Madison County,69.77%,43,"$48,695,424",10.55%,-10.25%
Monroe County,71.64%,342,"$1,283,743,301",7.06%,-12.57%
Montgomery County,77.27%,22,"$25,744,272",2.42%,-39.37%
Nassau County,64.44%,360,"$944,447,122",7.99%,-7.69%
New York County,63.39%,"2,330","$14,190,108,267",9.39%,-8.64%
Niagara County,69.84%,63,"$58,010,317",10.08%,-12.94%
Oneida County,68.37%,98,"$146,697,612",8.03%,-10.58%
Onondaga County,68.46%,241,"$400,870,412",8.78%,-12.93%
Ontario County,73.91%,69,"$82,679,025",10.62%,-17.33%
Orange County,72.38%,105,"$179,632,948",10.73%,-11.45%
Orleans County,73.33%,15,"$12,737,512",5.79%,-19.68%
Oswego County,82.93%,41,"$55,489,027",6.94%,-19.36%
Otsego County,72.50%,40,"$83,613,445",1.79%,-8.20%
Putnam County,80.43%,46,"$21,669,315",9.88%,-40.02%
Queens County,77.96%,372,"$1,567,635,611",6.90%,-22.87%
Rensselaer County,75.32%,77,"$95,443,634",11.91%,-15.00%
Richmond County,81.13%,106,"$311,900,614",7.71%,-32.49%
Rockland County,63.33%,150,"$215,234,723",7.85%,-8.55%
Saratoga County,67.86%,84,"$90,569,872",13.93%,-10.75%
Schenectady County,80.00%,55,"$107,404,457",2.57%,-13.91%
Schoharie County,76.92%,13,"$6,777,666",6.27%,-46.81%
Schuyler County,72.73%,11,"$8,788,802",4.41%,-7.63%
Seneca County,53.33%,15,"$4,222,419",10.85%,-2.59%
St. Lawrence County,70.51%,78,"$75,157,518",7.26%,-12.82%
Steuben County,68.42%,57,"$77,985,441",11.73%,-14.42%
Suffolk County,71.66%,427,"$520,851,733",6.02%,-13.47%
Sullivan County,62.50%,40,"$25,028,059",4.12%,-11.08%
Tioga County,58.82%,17,"$7,538,238",10.54%,-4.27%
Tompkins County,64.86%,111,"$147,783,059",10.75%,-11.59%
Ulster County,58.00%,100,"$125,410,916",12.60%,-3.45%
Warren County,70.00%,50,"$43,579,046",8.04%,-13.04%
Washington County,60.53%,38,"$18,040,089",11.13%,-7.86%
Wayne County,71.43%,21,"$17,307,851",11.45%,-14.97%
Westchester County,62.08%,414,"$955,835,767",11.64%,-5.95%
Wyoming County,79.17%,24,"$3,456,630",13.82%,-50.31%
Yates County,61.11%,18,"$17,813,782",5.94%,-5.43%
