Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",74.07%,54,"$59,691,992",12.11%,-15.81%
Education,75.76%,33,"$52,443,078",8.09%,-45.57%
Environment and animals,71.11%,45,"$20,843,770",12.22%,-13.83%
Health,79.03%,62,"$539,038,313",6.14%,-29.50%
Hospitals,100.00%,3,"$21,063,265",3.72%,-2.73%
Human services,80.12%,171,"$271,366,932",6.08%,-26.31%
"International, foreign affairs",50.00%,2,"$140,761",18.94%,7.26%
Mutual/membership benefit,100.00%,1,"$37,000",4.13%,-8.73%
"Public, societal benefit",85.71%,56,"$186,247,762",4.54%,-46.50%
Religion-related,50.00%,4,"$4,055,383",17.91%,2.75%
Unclassified,81.58%,152,"$958,045,446",6.33%,-38.10%
Universities,100.00%,1,"$4,996,067",-0.85%,-23.06%
Total,79.28%,584,"$2,117,969,769",7.18%,-29.01%
