Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",73.53%,170,"$811,079,861",7.49%,-22.01%
Education,61.71%,222,"$590,595,744",8.94%,-8.76%
Environment and animals,63.75%,80,"$301,454,857",9.93%,-7.21%
Health,57.26%,117,"$276,052,856",10.32%,-3.16%
Hospitals,100.00%,3,"$4,544,365",19.78%,-31.83%
Human services,74.27%,342,"$1,567,641,710",8.63%,-25.06%
"International, foreign affairs",68.39%,155,"$14,728,037,482",6.45%,-14.40%
Mutual/membership benefit,50.00%,2,"$1,669,607",25.74%,-30.49%
"Public, societal benefit",53.82%,262,"$1,343,241,118",11.74%,-3.21%
Religion-related,41.67%,24,"$44,523,830",13.62%,5.73%
Unclassified,61.95%,339,"$2,785,239,358",9.39%,-8.65%
Universities,50.00%,8,"$693,507,966",11.95%,-0.50%
Total,64.33%,"1,724","$23,147,588,754",9.10%,-11.74%
