Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,68.01%,644,"$83,657,843",13.42%,-15.40%
$10M or more,72.06%,204,"$2,412,870,593",5.39%,-12.24%
$1M to $4.9M,68.39%,579,"$645,555,422",12.17%,-15.81%
$500K to $999K,65.36%,384,"$110,352,982",12.43%,-10.58%
$5M to $9.9M,71.92%,146,"$492,459,255",7.79%,-18.40%
Less than $100K,54.05%,74,"$5,148,430",35.54%,-4.34%
Total,67.80%,"2,031","$3,750,044,525",11.42%,-14.21%
