Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",64.67%,"1,271","$1,112,526,413",13.37%,-8.69%
Education,68.31%,"1,483","$8,518,159,546",7.56%,-25.13%
Environment and animals,49.65%,576,"$786,796,544",15.72%,0.32%
Health,68.69%,907,"$5,685,152,055",7.49%,-13.88%
Hospitals,53.33%,60,"$467,958,612",4.20%,-1.68%
Human services,69.41%,"3,181","$15,297,905,986",7.32%,-22.33%
"International, foreign affairs",50.30%,167,"$283,858,378",11.18%,-0.22%
Mutual/membership benefit,66.67%,3,"$1,237,507",2.19%,-12.24%
"Public, societal benefit",61.19%,889,"$1,650,852,356",11.40%,-10.49%
Religion-related,51.87%,241,"$252,838,499",12.64%,-1.29%
Unclassified,69.28%,"2,145","$8,538,971,542",8.15%,-16.03%
Universities,51.35%,111,"$2,758,178,128",6.62%,-0.04%
Total,66.00%,"11,034","$45,354,435,566",8.89%,-13.44%
