Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Pennsylvania,66.86%,"6,294","$13,372,111,516",9.60%,-11.47%
10th Congressional district,62.93%,410,"$1,207,558,023",8.74%,-7.94%
11th Congressional district,60.37%,323,"$192,739,741",13.85%,-6.97%
12th Congressional district,67.28%,602,"$1,731,982,333",9.06%,-9.70%
13th Congressional district,67.60%,429,"$543,097,357",11.21%,-12.66%
14th Congressional district,64.45%,346,"$444,603,755",11.28%,-10.09%
15th Congressional district,64.85%,441,"$347,542,541",9.69%,-10.24%
16th Congressional district,73.97%,438,"$1,136,299,026",6.57%,-18.85%
17th Congressional district,68.39%,310,"$312,250,737",10.27%,-13.36%
1st Congressional district,68.95%,248,"$218,618,005",9.27%,-12.57%
2nd Congressional district,70.13%,308,"$1,548,762,146",8.90%,-12.55%
3rd Congressional district,69.61%,543,"$3,137,870,271",9.49%,-12.04%
4th Congressional district,61.13%,319,"$284,588,193",10.57%,-7.73%
5th Congressional district,67.13%,289,"$520,412,563",8.91%,-11.06%
6th Congressional district,63.04%,322,"$281,689,264",10.86%,-8.78%
7th Congressional district,70.55%,292,"$663,039,851",7.65%,-14.24%
8th Congressional district,69.74%,304,"$386,007,470",10.13%,-13.69%
9th Congressional district,64.86%,370,"$415,050,240",10.23%,-9.13%
