Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Wisconsin,63.28%,"2,236","$3,244,523,606",10.10%,-8.12%
1st Congressional district,59.87%,152,"$129,195,618",13.05%,-9.51%
2nd Congressional district,62.99%,481,"$592,051,219",10.95%,-7.99%
3rd Congressional district,63.20%,250,"$221,943,891",9.10%,-6.43%
4th Congressional district,72.20%,410,"$1,084,745,710",7.43%,-17.99%
5th Congressional district,58.42%,190,"$134,443,235",10.89%,-4.26%
6th Congressional district,57.83%,249,"$529,284,010",11.83%,-4.94%
7th Congressional district,63.95%,258,"$323,316,944",8.46%,-10.91%
8th Congressional district,59.76%,246,"$229,542,979",11.42%,-4.77%
