Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,76.39%,144,"$20,664,732",8.20%,-20.49%
$10M or more,77.78%,63,"$859,362,661",4.11%,-20.83%
$1M to $4.9M,71.84%,174,"$205,936,160",8.42%,-24.83%
$500K to $999K,70.24%,84,"$29,517,235",7.25%,-22.76%
$5M to $9.9M,75.61%,41,"$155,679,925",4.99%,-38.20%
Less than $100K,75.00%,16,"$1,202,189",26.22%,-14.83%
Total,73.95%,522,"$1,272,362,902",7.01%,-23.97%
