Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,70.90%,787,"$99,720,581",10.22%,-21.65%
$10M or more,61.33%,362,"$5,096,578,353",4.37%,-4.83%
$1M to $4.9M,70.19%,701,"$621,837,111",8.65%,-15.84%
$500K to $999K,75.00%,364,"$103,161,472",9.00%,-22.65%
$5M to $9.9M,64.40%,191,"$439,496,557",7.74%,-9.53%
Less than $100K,69.34%,137,"$9,813,201",27.21%,-21.69%
Total,69.35%,"2,542","$6,370,607,275",8.48%,-15.39%
