Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Nebraska,65.65%,786,"$1,054,906,249",7.72%,-11.33%
Adams County,72.22%,18,"$24,737,352",2.50%,-24.70%
Antelope County,0.00%,1,"$725,194",9.37%,5.98%
Arthur County,0.00%,1,"$18,387",125.51%,186.25%
Boone County,0.00%,3,"$24,200",45.55%,40.68%
Box Butte County,75.00%,4,"$1,022,740",3.40%,-77.70%
Boyd County,0.00%,1,"$341,801",10.83%,1.17%
Brown County,0.00%,1,"$73,000",56.63%,15.62%
Buffalo County,69.57%,23,"$29,292,915",10.87%,-24.07%
Burt County,85.71%,7,"$5,633,310",13.48%,-21.27%
Butler County,50.00%,2,"$114,903",16.05%,14.38%
Cass County,100.00%,3,"$1,474,596",11.86%,-22.75%
Cedar County,100.00%,1,"$25,000",4.77%,-3.21%
Chase County,100.00%,1,"$15,118",0.13%,-10.74%
Cherry County,100.00%,1,"$150,000",-7.20%,-106.87%
Cheyenne County,25.00%,4,"$7,114,041",16.19%,3.00%
Clay County,66.67%,3,"$153,920",11.43%,-4.77%
Colfax County,33.33%,3,"$1,594,517",11.45%,7.36%
Cuming County,80.00%,5,"$2,551,607",1.62%,-24.31%
Custer County,66.67%,6,"$1,578,487",2.58%,-10.73%
Dakota County,100.00%,4,"$2,075,195",5.67%,-42.68%
Dawes County,75.00%,4,"$5,795,714",17.28%,-16.09%
Dawson County,77.78%,9,"$4,946,385",-7.70%,-39.38%
Dixon County,100.00%,1,"$8,485",-171.93%,-175.68%
Dodge County,83.33%,12,"$9,392,120",8.98%,-38.30%
Douglas County,61.37%,277,"$486,208,866",5.50%,-7.59%
Fillmore County,100.00%,1,"$117,340",-6.38%,-42.65%
Franklin County,0.00%,1,"$23,050",18.46%,3.88%
Furnas County,50.00%,4,"$801,545",5.08%,-7.56%
Gage County,63.64%,11,"$4,755,582",9.32%,-7.76%
Garfield County,100.00%,2,"$348,257",-18.12%,-66.54%
Greeley County,100.00%,1,"$27,486",-11.55%,-46.56%
Hall County,78.57%,28,"$14,862,298",11.04%,-16.18%
Hamilton County,57.14%,7,"$1,497,512",8.83%,-0.36%
Harlan County,100.00%,1,"$170,823",2.82%,-68.75%
Hitchcock County,100.00%,1,"$219,043",-0.90%,-55.25%
Holt County,66.67%,6,"$5,433,477",5.21%,-23.96%
Jefferson County,83.33%,6,"$12,878,267",3.33%,-18.74%
Johnson County,100.00%,2,"$1,006,282",-0.08%,-50.86%
Keith County,60.00%,5,"$934,889",2.75%,-6.24%
Knox County,100.00%,1,"$4,250",-10.66%,-15.50%
Lancaster County,70.71%,140,"$212,045,978",9.02%,-10.89%
Lincoln County,75.00%,16,"$10,698,277",14.18%,-61.93%
Madison County,66.67%,21,"$24,454,225",7.68%,-22.91%
Merrick County,25.00%,4,"$635,723",26.19%,20.86%
Nance County,100.00%,1,"$198,520",28.00%,-62.84%
Nemaha County,33.33%,3,"$536,226",17.37%,2.74%
Nuckolls County,33.33%,3,"$4,328,385",18.77%,8.78%
Otoe County,57.14%,7,"$1,200,075",16.51%,-2.58%
Pawnee County,100.00%,2,"$42,090",-28.83%,-41.89%
Perkins County,33.33%,3,"$213,259",7.14%,0.54%
Phelps County,87.50%,8,"$6,034,792",-6.11%,-23.32%
Pierce County,0.00%,1,"$178,310",3.89%,1.84%
Platte County,80.00%,5,"$6,573,401",14.61%,-16.69%
Polk County,100.00%,1,"$116,916",-3.87%,-5.89%
Red Willow County,50.00%,4,"$2,569,391",4.13%,-41.75%
Richardson County,75.00%,4,"$4,103,972",11.78%,-51.14%
Saline County,25.00%,4,"$7,514,509",59.13%,57.00%
Sarpy County,60.00%,20,"$72,890,525",9.72%,-12.13%
Saunders County,33.33%,3,"$94,764",13.71%,4.71%
Scotts Bluff County,69.23%,26,"$23,575,502",3.56%,-10.18%
Seward County,33.33%,6,"$6,195,395",12.91%,5.31%
Sheridan County,100.00%,1,"$284,630",-55.99%,-155.97%
Sherman County,100.00%,4,"$13,568,154",7.37%,-69.94%
Thayer County,100.00%,2,"$1,891,172",9.84%,-10.91%
Thurston County,75.00%,4,"$13,636,986",6.14%,-51.00%
Washington County,60.00%,5,"$3,436,247",2.70%,-15.72%
Wayne County,50.00%,4,"$7,011,645",16.60%,1.75%
Webster County,0.00%,1,"$103,000",78.63%,76.46%
York County,54.55%,11,"$2,626,226",6.32%,-20.11%
