Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Kentucky,65.87%,"1,175","$2,545,376,443",9.03%,-10.71%
Adair County,100.00%,1,"$7,156,516",5.62%,-4.19%
Allen County,25.00%,4,"$494,834",26.34%,14.21%
Anderson County,0.00%,1,"$193,279",18.52%,5.09%
Ballard County,100.00%,1,"$256,031",19.51%,-63.64%
Barren County,87.50%,8,"$10,881,872",8.57%,-13.78%
Bell County,85.71%,7,"$12,579,678",-3.25%,-45.76%
Boone County,45.45%,11,"$5,212,953",8.56%,2.87%
Bourbon County,80.00%,5,"$1,249,267",16.63%,-6.62%
Boyd County,66.67%,18,"$33,293,640",6.91%,-15.01%
Boyle County,64.71%,17,"$11,713,733",4.61%,-3.53%
Bracken County,100.00%,1,"$243,801",3.45%,-54.72%
Breathitt County,50.00%,4,"$10,759,010",13.96%,-40.08%
Breckinridge County,50.00%,2,"$3,235,039",8.06%,1.98%
Bullitt County,25.00%,8,"$1,454,634",12.78%,6.45%
Butler County,75.00%,4,"$389,481",17.54%,-8.99%
Caldwell County,100.00%,3,"$4,804,768",16.40%,-33.71%
Calloway County,66.67%,6,"$944,795",7.96%,-40.06%
Campbell County,85.71%,21,"$24,880,262",6.14%,-17.07%
Carroll County,66.67%,3,"$3,184,277",10.80%,-4.33%
Carter County,100.00%,2,"$15,320,045",-11.13%,-65.72%
Christian County,80.00%,15,"$20,610,359",3.27%,-61.04%
Clark County,87.50%,8,"$2,896,874",2.49%,-51.22%
Clay County,100.00%,3,"$14,242,805",-7.44%,-75.43%
Clinton County,50.00%,2,"$1,243,671",9.14%,-0.09%
Crittenden County,100.00%,1,"$5,637",-13.47%,-24.21%
Cumberland County,33.33%,3,"$24,275,603",3.10%,0.69%
Daviess County,66.67%,39,"$84,253,946",11.66%,-14.92%
Edmonson County,50.00%,2,"$1,647,378",19.45%,-5.94%
Estill County,50.00%,2,"$25,500",22.25%,11.05%
Fayette County,66.01%,153,"$389,681,695",9.27%,-6.89%
Fleming County,100.00%,1,"$7,378,071",2.79%,-94.72%
Floyd County,81.82%,11,"$42,413,220",6.18%,-81.49%
Franklin County,68.97%,29,"$191,869,128",1.88%,-61.61%
Fulton County,100.00%,1,"$101,080",23.39%,-76.54%
Gallatin County,100.00%,1,"$4,284,002",4.84%,-44.77%
Garrard County,100.00%,1,$525,-21.31%,-21.96%
Grant County,100.00%,2,"$175,818",19.50%,-48.18%
Graves County,80.00%,10,"$21,499,690",12.10%,-51.22%
Grayson County,100.00%,1,"$3,514,347",-257.75%,-344.33%
Greenup County,100.00%,2,"$4,879,825",5.48%,-88.79%
Hardin County,66.67%,21,"$37,169,295",11.07%,-16.04%
Harlan County,83.33%,6,"$6,040,777",8.10%,-28.84%
Harrison County,50.00%,2,"$4,276,346",8.27%,-1.79%
Hart County,0.00%,2,"$8,843",44.38%,43.55%
Henderson County,72.22%,18,"$4,233,255",3.86%,-11.80%
Hickman County,100.00%,2,"$53,784",5.92%,-19.37%
Hopkins County,64.29%,14,"$12,545,026",8.32%,-13.72%
Jackson County,100.00%,1,"$4,550",-4.23%,-12.61%
Jefferson County,62.05%,303,"$727,805,241",9.22%,-5.63%
Jessamine County,55.56%,9,"$9,532,261",14.18%,-3.98%
Johnson County,80.00%,5,"$21,906,771",4.45%,-67.38%
Kenton County,60.87%,46,"$120,616,125",10.26%,-6.22%
Knott County,50.00%,4,"$2,997,554",-7.37%,-40.04%
Knox County,100.00%,4,"$33,590,088",10.92%,-46.60%
Larue County,0.00%,1,"$26,062",49.72%,29.95%
Laurel County,87.50%,16,"$21,702,150",0.48%,-72.14%
Lawrence County,0.00%,1,"$727,219",10.43%,4.17%
Lee County,100.00%,2,"$9,660,718",41.12%,-24.85%
Letcher County,80.00%,5,"$10,395,243",-7.48%,-59.76%
Lewis County,75.00%,4,"$10,923,762",-2.23%,-22.73%
Lincoln County,100.00%,2,"$1,153,795",10.69%,-30.48%
Livingston County,66.67%,3,"$2,818,292",6.88%,-7.17%
Logan County,66.67%,3,"$360,698",20.20%,-57.23%
Lyon County,100.00%,1,"$170,552",10.81%,-46.81%
Madison County,65.00%,20,"$93,705,379",21.43%,-7.76%
Magoffin County,100.00%,1,"$32,894",3.37%,-12.22%
Marion County,80.00%,5,"$23,432,853",8.91%,-5.72%
Marshall County,60.00%,5,"$2,199,979",5.42%,-1.63%
Mason County,87.50%,8,"$5,869,781",0.05%,-22.14%
McCracken County,45.83%,24,"$17,767,213",19.91%,4.19%
McCreary County,0.00%,1,"$2,000",16.67%,16.56%
Meade County,66.67%,3,"$361,698",6.56%,-78.79%
Mercer County,50.00%,6,"$2,748,859",11.93%,-1.67%
Metcalfe County,0.00%,1,"$16,000",46.76%,38.22%
Monroe County,100.00%,1,"$3,349,442",8.88%,-5.36%
Montgomery County,90.00%,10,"$8,251,476",4.54%,-22.06%
Morgan County,100.00%,2,"$18,214,902",-0.46%,-89.35%
Muhlenberg County,50.00%,2,"$4,073,285",30.46%,1.76%
Nelson County,40.00%,10,"$3,536,483",15.30%,4.17%
Ohio County,66.67%,3,"$3,137,112",4.47%,-4.21%
Oldham County,33.33%,9,"$2,764,330",11.39%,4.35%
Owsley County,100.00%,5,"$2,279,835",8.83%,-64.15%
Pendleton County,50.00%,2,"$46,047",-8.05%,-26.85%
Perry County,84.21%,19,"$97,707,399",2.76%,-39.39%
Pike County,46.67%,15,"$29,256,908",7.19%,0.17%
Powell County,0.00%,1,"$49,078",20.81%,8.34%
Pulaski County,75.00%,12,"$34,850,089",4.47%,-45.44%
Rockcastle County,33.33%,3,"$2,686,036",7.60%,4.62%
Rowan County,75.00%,8,"$13,498,203",6.24%,-52.41%
Russell County,83.33%,6,"$24,485,737",4.14%,-69.49%
Scott County,58.33%,12,"$4,853,463",10.33%,-4.48%
Shelby County,75.00%,8,"$2,854,199",6.91%,-23.96%
Simpson County,66.67%,9,"$2,124,538",4.04%,-7.04%
Taylor County,100.00%,3,"$14,039,483",5.93%,-4.24%
Todd County,0.00%,2,"$243,391",40.26%,34.98%
Trigg County,33.33%,3,"$4,000,813",18.57%,5.06%
Union County,60.00%,5,"$991,472",3.53%,-0.65%
Warren County,60.00%,45,"$87,935,070",14.17%,-12.19%
Washington County,100.00%,1,"$927,425",9.35%,-5.82%
Wayne County,100.00%,1,"$1,202,683",1.90%,-3.68%
Webster County,100.00%,2,"$4,164,696",-32.44%,-48.42%
Whitley County,57.14%,7,"$17,754,029",12.83%,-24.65%
Wolfe County,100.00%,1,"$243,224",16.79%,-58.60%
Woodford County,80.00%,5,"$7,753,443",3.83%,-5.32%
