Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
South Carolina,70.56%,"1,345","$2,348,088,084",9.23%,-19.40%
Abbeville County,40.00%,5,"$3,434,487",14.24%,0.52%
Aiken County,64.10%,39,"$45,970,341",14.37%,-13.10%
Allendale County,100.00%,2,"$7,155,284",-9.82%,-28.33%
Anderson County,56.41%,39,"$26,960,969",14.43%,-4.62%
Bamberg County,83.33%,6,"$21,314,887",6.02%,-70.85%
Barnwell County,100.00%,2,"$4,595,183",15.28%,-46.74%
Beaufort County,69.64%,56,"$41,391,113",11.10%,-17.95%
Berkeley County,78.57%,14,"$33,967,783",4.96%,-44.42%
Calhoun County,100.00%,2,"$266,189",-4.79%,-81.43%
Charleston County,61.00%,200,"$313,384,110",14.31%,-6.36%
Cherokee County,72.22%,18,"$17,472,779",7.47%,-27.09%
Chester County,83.33%,6,"$8,797,988",9.29%,-67.12%
Chesterfield County,93.33%,15,"$12,350,960",9.19%,-57.75%
Clarendon County,80.00%,10,"$9,468,914",5.65%,-76.35%
Colleton County,77.78%,9,"$8,226,916",10.75%,-26.96%
Darlington County,80.00%,15,"$40,137,907",10.01%,-13.05%
Dillon County,100.00%,2,"$451,297",1.77%,-62.63%
Dorchester County,70.00%,20,"$7,666,089",16.26%,-12.70%
Edgefield County,40.00%,5,"$9,119,387",13.43%,1.42%
Fairfield County,100.00%,5,"$4,546,565",4.29%,-37.26%
Florence County,66.67%,48,"$81,526,589",9.94%,-21.97%
Georgetown County,48.57%,35,"$11,575,215",15.30%,0.13%
Greenville County,65.71%,140,"$381,004,994",9.22%,-7.54%
Greenwood County,81.82%,33,"$75,477,590",3.53%,-44.84%
Hampton County,100.00%,2,"$6,653,185",8.48%,-27.99%
Horry County,68.25%,63,"$100,378,982",11.94%,-11.04%
Jasper County,71.43%,7,"$28,151,468",0.35%,-40.98%
Kershaw County,68.42%,19,"$11,594,569",8.31%,-38.69%
Lancaster County,73.33%,15,"$15,305,886",0.16%,-62.26%
Laurens County,50.00%,14,"$10,227,327",16.78%,-2.29%
Lee County,100.00%,5,"$3,449,096",5.59%,-39.21%
Lexington County,78.57%,42,"$98,066,675",5.07%,-45.87%
Marion County,66.67%,9,"$8,741,504",4.86%,-29.17%
Marlboro County,88.89%,9,"$5,303,006",-1.67%,-26.15%
McCormick County,50.00%,4,"$673,259",21.81%,-11.36%
Newberry County,88.89%,9,"$5,154,718",1.16%,-10.66%
Oconee County,72.73%,11,"$3,197,269",4.81%,-16.66%
Orangeburg County,76.19%,21,"$66,149,671",9.36%,-40.40%
Pickens County,80.77%,26,"$25,901,816",11.31%,-28.17%
Richland County,82.54%,189,"$533,657,662",5.25%,-45.64%
Spartanburg County,74.12%,85,"$111,776,922",3.86%,-26.30%
Sumter County,62.50%,24,"$24,712,266",9.27%,-10.37%
Union County,66.67%,3,"$365,027",33.06%,-12.48%
Williamsburg County,88.89%,9,"$4,245,716",1.55%,-72.55%
York County,66.04%,53,"$118,118,524",11.71%,-19.54%
