Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,52.63%,190,"$18,813,989",16.07%,-2.18%
$10M or more,60.87%,46,"$350,798,012",6.66%,-5.67%
$1M to $4.9M,72.60%,146,"$205,858,021",10.45%,-36.19%
$500K to $999K,62.96%,81,"$23,047,486",11.61%,-11.11%
$5M to $9.9M,78.57%,28,"$132,803,136",8.91%,-72.42%
Less than $100K,46.15%,13,"$720,244",36.05%,1.24%
Total,62.10%,504,"$732,040,888",11.87%,-10.04%
