Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,67.67%,"107,958","$304,760,663,982",8.80%,-13.16%
Georgia,66.86%,"2,227","$5,479,386,884",8.99%,-12.56%
10th Congressional district,65.09%,106,"$315,536,704",9.23%,-11.21%
11th Congressional district,62.50%,112,"$184,830,188",9.68%,-10.56%
12th Congressional district,71.76%,131,"$249,442,924",7.33%,-20.66%
13th Congressional district,79.01%,81,"$75,857,624",7.39%,-29.54%
14th Congressional district,67.96%,103,"$58,153,213",8.61%,-22.20%
1st Congressional district,74.83%,151,"$206,226,152",10.31%,-19.60%
2nd Congressional district,72.37%,228,"$423,348,600",6.73%,-16.45%
3rd Congressional district,67.57%,111,"$97,089,151",9.03%,-10.14%
4th Congressional district,66.04%,159,"$309,143,144",8.67%,-11.00%
5th Congressional district,66.34%,505,"$2,842,603,952",8.64%,-12.78%
6th Congressional district,62.01%,179,"$261,569,914",9.94%,-7.58%
7th Congressional district,55.15%,136,"$76,006,897",12.62%,-2.10%
8th Congressional district,63.16%,114,"$224,161,920",12.10%,-15.68%
9th Congressional district,63.96%,111,"$155,416,501",6.82%,-7.01%
