Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Alaska,84.10%,566,"$2,135,005,707",3.15%,-36.53%
Aleutians West Census Area,100.00%,4,"$4,082,861",-1.20%,-60.78%
Anchorage Municipality,83.33%,198,"$1,083,228,997",3.11%,-32.47%
Bethel Census Area,80.00%,10,"$11,231,953",3.79%,-50.52%
Bristol Bay Borough,100.00%,1,"$2,939,330",6.74%,-75.11%
Chugach Census Area,85.71%,14,"$17,445,355",6.60%,-69.01%
Copper River Census Area,100.00%,4,"$24,195,832",-0.29%,-79.16%
Denali Borough,100.00%,3,"$574,952",35.09%,-54.79%
Dillingham Census Area,100.00%,7,"$100,715,971",10.85%,-44.02%
Fairbanks North Star Borough,89.39%,66,"$70,438,323",2.02%,-39.78%
Haines Borough,100.00%,5,"$550,281",-2.62%,-31.61%
Hoonah-Angoon Census Area,50.00%,2,"$55,648",-17.96%,-29.61%
Juneau City and Borough,87.50%,48,"$258,130,156",-0.55%,-43.03%
Kenai Peninsula Borough,82.81%,64,"$44,284,447",1.00%,-37.37%
Ketchikan Gateway Borough,84.62%,13,"$8,990,720",1.89%,-49.55%
Kodiak Island Borough,75.00%,16,"$49,316,989",10.95%,-45.32%
Kusilvak Census Area,100.00%,2,"$1,607,169",-9.18%,-106.35%
Lake and Peninsula Borough,100.00%,1,"$43,456",-39.71%,-78.30%
Matanuska-Susitna Borough,72.22%,54,"$75,235,497",8.01%,-22.93%
Nome Census Area,80.00%,5,"$196,904,880",20.49%,-37.84%
North Slope Borough,100.00%,5,"$68,066,769",8.85%,-36.05%
Northwest Arctic Borough,100.00%,2,"$93,610,010",-5.13%,-42.15%
Petersburg Borough,100.00%,5,"$3,365,516",6.34%,-19.59%
Prince of Wales-Hyder Census Area,100.00%,1,"$1,909,205",42.56%,-56.14%
Sitka City and Borough,75.00%,24,"$13,948,229",10.57%,-17.97%
Skagway Municipality,100.00%,1,"$188,102",31.72%,-30.83%
Southeast Fairbanks Census Area,100.00%,6,"$690,090",-35.68%,-103.14%
Wrangell City and Borough,100.00%,1,"$1,595,660",43.24%,-6.77%
Yukon-Koyukuk Census Area,100.00%,4,"$1,659,309",-0.28%,-73.24%
