Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",84.09%,44,"$46,517,650",1.08%,-29.90%
Education,84.38%,32,"$54,499,098",4.63%,-41.04%
Environment and animals,84.78%,46,"$27,312,837",4.50%,-46.47%
Health,82.14%,56,"$600,039,602",2.70%,-33.36%
Hospitals,66.67%,3,"$6,815,915",-6.58%,-7.67%
Human services,83.43%,175,"$322,240,530",3.70%,-35.25%
"International, foreign affairs",100.00%,2,"$133,894",-1.33%,-12.64%
Mutual/membership benefit,100.00%,1,"$27,322",6.73%,-1.88%
"Public, societal benefit",83.05%,59,"$180,062,963",8.24%,-54.79%
Religion-related,66.67%,3,"$2,501,115",13.97%,-16.31%
Unclassified,86.11%,144,"$891,385,389",2.10%,-37.84%
Universities,100.00%,1,"$3,469,392",3.01%,-11.12%
Total,84.10%,566,"$2,135,005,707",3.15%,-36.53%
