Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,74.63%,268,"$46,652,985",6.93%,-20.38%
$10M or more,80.44%,225,"$3,266,269,094",3.82%,-20.85%
$1M to $4.9M,82.05%,429,"$502,455,928",4.82%,-29.31%
$500K to $999K,86.84%,190,"$71,837,887",1.60%,-34.29%
$5M to $9.9M,82.74%,168,"$499,805,494",4.76%,-23.50%
Less than $100K,54.55%,33,"$5,538,153",33.80%,-2.79%
Total,80.35%,"1,313","$4,392,559,541",4.45%,-26.25%
