Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",67.42%,396,"$133,475,965",2.39%,-11.62%
Education,79.94%,648,"$1,334,710,606",4.22%,-21.08%
Environment and animals,68.75%,176,"$107,579,378",5.52%,-17.51%
Health,78.35%,522,"$1,804,463,983",1.91%,-15.58%
Hospitals,60.87%,46,"$335,779,343",1.66%,-2.09%
Human services,79.50%,"2,020","$2,805,619,857",2.78%,-27.96%
"International, foreign affairs",80.00%,20,"$9,874,717",-2.19%,-14.50%
Mutual/membership benefit,100.00%,5,"$617,492",-31.64%,-57.88%
"Public, societal benefit",76.46%,412,"$678,621,197",3.15%,-30.04%
Religion-related,64.62%,65,"$48,796,348",8.18%,-12.61%
Unclassified,81.39%,"1,123","$2,990,971,384",2.56%,-27.38%
Universities,74.12%,85,"$2,153,350,203",0.11%,-4.01%
Total,78.00%,"5,518","$12,403,860,473",2.89%,-22.38%
