Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",83.33%,48,"$18,751,596",-4.16%,-40.59%
Education,84.62%,65,"$226,500,448",-0.33%,-62.97%
Environment and animals,66.67%,24,"$228,180,799",18.93%,-20.51%
Health,88.24%,34,"$58,594,011",0.74%,-46.67%
Hospitals,25.00%,4,"$53,888,667",14.09%,8.43%
Human services,81.32%,182,"$149,423,783",12.31%,-39.11%
"International, foreign affairs",75.00%,4,"$2,228,841",7.90%,-15.04%
"Public, societal benefit",89.19%,37,"$39,301,137",3.02%,-28.11%
Religion-related,100.00%,5,"$655,291",-23.94%,-60.22%
Unclassified,86.36%,110,"$167,807,246",6.43%,-38.30%
Universities,75.00%,4,"$333,308,734",2.08%,-8.88%
Total,82.98%,517,"$1,278,640,553",6.02%,-38.49%
