Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,74.24%,361,"$62,453,820",8.70%,-20.06%
$10M or more,73.14%,175,"$1,701,055,179",3.60%,-9.64%
$1M to $4.9M,71.43%,280,"$240,532,738",6.27%,-19.65%
$500K to $999K,76.83%,164,"$53,304,308",7.73%,-18.98%
$5M to $9.9M,76.25%,80,"$230,953,425",5.56%,-24.27%
Less than $100K,60.38%,53,"$4,583,705",21.28%,-14.38%
Total,73.23%,"1,113","$2,292,883,175",6.49%,-18.48%
