Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Maryland,79.71%,"2,243","$6,835,023,277",3.09%,-25.74%
Allegany County,89.74%,39,"$34,369,659",3.20%,-46.33%
Anne Arundel County,70.44%,159,"$329,156,179",4.52%,-15.17%
Baltimore County,82.30%,209,"$319,885,565",0.09%,-36.88%
Baltimore city,79.19%,418,"$3,070,401,962",3.04%,-23.40%
Calvert County,85.19%,27,"$6,702,792",2.86%,-22.76%
Caroline County,80.00%,20,"$14,503,362",6.89%,-37.72%
Carroll County,76.74%,43,"$49,307,968",6.32%,-33.17%
Cecil County,88.89%,27,"$16,304,026",1.25%,-44.10%
Charles County,93.75%,48,"$54,569,423",0.32%,-45.48%
Dorchester County,88.24%,17,"$13,917,841",8.71%,-56.61%
Frederick County,86.54%,104,"$68,212,697",1.58%,-35.48%
Garrett County,78.26%,23,"$20,996,354",9.13%,-37.19%
Harford County,86.67%,75,"$55,583,249",6.09%,-24.48%
Howard County,84.85%,99,"$271,237,229",0.62%,-29.31%
Kent County,58.33%,24,"$13,218,148",7.97%,-7.18%
Montgomery County,77.73%,431,"$1,684,893,430",3.09%,-19.62%
Prince George's County,77.49%,191,"$430,053,692",3.77%,-25.97%
Queen Anne's County,81.48%,27,"$9,901,570",6.44%,-16.40%
Somerset County,100.00%,14,"$24,171,592",-2.56%,-84.08%
St. Mary's County,70.27%,37,"$18,566,295",5.65%,-28.95%
Talbot County,77.50%,40,"$131,762,593",5.14%,-33.06%
Washington County,74.73%,91,"$99,148,578",8.75%,-16.74%
Wicomico County,81.13%,53,"$83,331,236",5.10%,-37.73%
Worcester County,88.89%,27,"$14,827,837",2.42%,-46.40%
