Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",71.91%,89,"$22,165,182",-1.47%,-15.86%
Education,74.42%,43,"$60,870,141",8.20%,-14.54%
Environment and animals,66.67%,27,"$18,371,533",7.92%,-15.65%
Health,85.39%,89,"$187,821,271",2.87%,-22.81%
Hospitals,67.86%,28,"$30,864,406",0.41%,-5.87%
Human services,80.62%,258,"$230,217,776",1.96%,-24.23%
"International, foreign affairs",66.67%,3,"$1,875,320",1.19%,-16.96%
Mutual/membership benefit,100.00%,1,"$93,898",-11.75%,-111.75%
"Public, societal benefit",81.16%,69,"$46,677,416",2.95%,-34.69%
Religion-related,77.78%,18,"$2,701,528",0.51%,-12.56%
Unclassified,82.43%,239,"$361,579,418",0.78%,-24.93%
Universities,75.00%,12,"$11,453,269",-1.11%,-4.99%
Total,79.45%,876,"$974,691,158",1.59%,-21.02%
