Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",72.55%,51,"$17,867,337",2.21%,-32.71%
Education,84.06%,69,"$269,784,614",1.79%,-47.52%
Environment and animals,56.52%,23,"$25,895,911",11.23%,-11.93%
Health,84.21%,76,"$172,205,326",1.82%,-26.77%
Hospitals,64.52%,31,"$44,994,876",2.65%,-5.71%
Human services,79.30%,314,"$285,693,686",4.88%,-36.48%
"International, foreign affairs",100.00%,6,"$82,966,137",-4.18%,-15.39%
"Public, societal benefit",88.89%,63,"$95,413,373",4.27%,-50.76%
Religion-related,80.00%,15,"$3,079,784",3.47%,-12.79%
Unclassified,81.87%,182,"$362,303,319",3.86%,-27.88%
Universities,66.67%,12,"$38,280,193",2.62%,-10.37%
Total,79.81%,842,"$1,398,484,556",3.71%,-31.82%
