Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",65.29%,121,"$61,937,767",4.55%,-12.34%
Education,85.78%,204,"$721,039,525",4.90%,-63.57%
Environment and animals,70.83%,48,"$7,953,798",4.22%,-27.76%
Health,84.17%,139,"$327,174,402",2.85%,-37.76%
Hospitals,52.78%,36,"$124,352,717",4.83%,-2.56%
Human services,77.14%,608,"$612,628,866",2.83%,-26.20%
"International, foreign affairs",46.67%,15,"$188,095,288",8.37%,5.03%
"Public, societal benefit",84.07%,182,"$232,409,449",5.16%,-35.99%
Religion-related,70.00%,40,"$20,079,110",4.46%,-14.23%
Unclassified,77.04%,392,"$684,041,359",1.59%,-22.38%
Universities,79.17%,24,"$247,524,506",-4.71%,-12.71%
Total,77.50%,"1,809","$3,227,236,787",3.09%,-25.54%
