Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",81.08%,74,"$41,360,011",4.16%,-20.28%
Education,69.81%,53,"$76,455,545",10.42%,-13.90%
Environment and animals,73.33%,60,"$34,895,113",3.98%,-29.50%
Health,84.91%,53,"$118,409,162",1.91%,-35.91%
Hospitals,83.33%,6,"$37,988,618",1.69%,-14.07%
Human services,85.82%,134,"$218,901,243",3.62%,-32.14%
"International, foreign affairs",100.00%,5,"$29,999,384",-7.50%,-58.82%
"Public, societal benefit",73.58%,53,"$251,219,113",8.75%,-33.00%
Religion-related,66.67%,3,"$8,759,495",2.24%,-18.00%
Unclassified,79.66%,118,"$240,393,922",1.72%,-36.82%
Universities,75.00%,4,"$13,182,081",-4.91%,-12.69%
Total,79.75%,563,"$1,071,563,687",3.52%,-28.60%
