Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,78.65%,178,"$21,549,982",4.09%,-23.29%
$10M or more,78.57%,84,"$939,626,457",4.90%,-30.67%
$1M to $4.9M,84.68%,235,"$369,485,400",4.17%,-50.43%
$500K to $999K,83.15%,89,"$40,018,922",7.67%,-30.21%
$5M to $9.9M,88.73%,71,"$386,323,298",6.66%,-78.65%
Less than $100K,58.82%,34,"$1,953,247",22.17%,-13.25%
Total,81.33%,691,"$1,758,957,306",5.36%,-35.15%
