Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Washington,77.46%,"2,498","$6,096,686,643",3.68%,-23.23%
10th Congressional district,80.00%,160,"$299,335,287",4.89%,-28.13%
1st Congressional district,70.40%,125,"$110,246,656",3.92%,-21.15%
2nd Congressional district,74.32%,296,"$383,298,634",4.10%,-19.14%
3rd Congressional district,73.83%,149,"$225,992,904",6.20%,-22.24%
4th Congressional district,78.09%,178,"$489,677,864",3.18%,-24.87%
5th Congressional district,80.83%,240,"$406,097,007",2.82%,-29.64%
6th Congressional district,76.76%,327,"$484,389,763",3.91%,-21.73%
7th Congressional district,78.37%,541,"$1,972,102,168",2.47%,-19.64%
8th Congressional district,72.67%,150,"$137,335,190",5.83%,-10.59%
9th Congressional district,81.93%,332,"$1,588,211,170",2.68%,-38.92%
