Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Massachusetts,71.19%,"2,669","$14,679,854,631",5.06%,-15.05%
1st Congressional district,76.74%,301,"$853,982,473",5.13%,-16.97%
2nd Congressional district,75.84%,269,"$869,947,131",4.84%,-18.57%
3rd Congressional district,68.10%,210,"$799,614,703",7.92%,-12.34%
4th Congressional district,65.09%,212,"$701,775,506",8.03%,-7.03%
5th Congressional district,70.45%,291,"$1,840,240,090",5.16%,-11.35%
6th Congressional district,70.20%,198,"$2,583,776,073",4.47%,-15.15%
7th Congressional district,73.16%,503,"$4,866,374,901",3.40%,-18.91%
8th Congressional district,70.42%,382,"$1,468,649,395",3.92%,-18.31%
9th Congressional district,67.00%,303,"$695,494,359",6.23%,-16.61%
