Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,74.50%,"2,000","$256,089,258",6.24%,-26.17%
$10M or more,80.28%,"1,587","$41,625,184,336",2.46%,-28.82%
$1M to $4.9M,78.85%,"2,931","$3,410,274,942",4.03%,-32.18%
$500K to $999K,81.12%,"1,409","$458,998,900",1.88%,-31.33%
$5M to $9.9M,81.69%,863,"$3,136,655,790",3.44%,-40.01%
Less than $100K,65.11%,235,"$82,148,994",27.06%,-14.47%
Total,78.40%,"9,025","$48,969,352,220",3.69%,-30.40%
