Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
California,78.40%,"9,025","$48,969,352,220",3.69%,-30.40%
Alameda County,76.67%,733,"$3,748,688,696",3.19%,-29.24%
Alpine County,100.00%,1,"$180,664",16.07%,-46.08%
Amador County,58.33%,12,"$6,904,151",6.07%,-33.21%
Butte County,88.73%,71,"$320,421,221",3.84%,-65.43%
Calaveras County,83.33%,12,"$26,411,109",-0.53%,-55.63%
Colusa County,75.00%,4,"$1,839,663",12.93%,-54.54%
Contra Costa County,73.99%,223,"$451,697,320",5.31%,-19.39%
Del Norte County,91.67%,12,"$12,466,268",2.82%,-67.08%
El Dorado County,72.34%,47,"$207,656,105",5.91%,-30.50%
Fresno County,78.85%,156,"$1,140,069,030",5.84%,-31.81%
Glenn County,75.00%,4,"$16,519,362",25.34%,-39.80%
Humboldt County,82.93%,82,"$263,337,393",4.48%,-56.57%
Imperial County,89.47%,19,"$41,535,787",8.95%,-30.13%
Inyo County,100.00%,8,"$27,952,968",3.65%,-44.20%
Kern County,81.18%,85,"$757,574,594",2.03%,-47.13%
Kings County,90.00%,10,"$53,356,510",8.67%,-55.12%
Lake County,89.47%,19,"$31,015,024",6.98%,-53.84%
Lassen County,100.00%,8,"$26,818,808",4.15%,-74.96%
Los Angeles County,79.30%,"2,188","$16,361,938,519",3.15%,-34.79%
Madera County,66.67%,15,"$61,557,307",2.79%,-29.18%
Marin County,77.60%,183,"$268,591,748",3.62%,-18.00%
Mariposa County,80.00%,10,"$9,088,640",3.04%,-54.05%
Mendocino County,82.81%,64,"$311,014,287",3.97%,-41.36%
Merced County,80.00%,20,"$97,975,203",7.07%,-28.66%
Modoc County,100.00%,7,"$7,410,421",-1.49%,-60.52%
Mono County,81.82%,11,"$8,607,916",5.00%,-48.35%
Monterey County,67.62%,105,"$173,315,529",4.21%,-25.78%
Napa County,78.79%,66,"$510,385,788",4.64%,-23.24%
Nevada County,86.21%,58,"$79,279,699",2.61%,-37.63%
Orange County,74.24%,427,"$1,782,074,359",4.76%,-19.49%
Placer County,73.81%,84,"$334,208,517",3.34%,-10.23%
Plumas County,82.35%,17,"$35,031,109",0.26%,-36.23%
Riverside County,75.49%,253,"$840,950,515",6.12%,-28.11%
Sacramento County,80.20%,404,"$2,483,183,480",4.27%,-39.54%
San Benito County,81.25%,16,"$36,175,140",13.05%,-41.16%
San Bernardino County,80.00%,230,"$1,979,179,623",3.34%,-59.39%
San Diego County,77.19%,741,"$4,355,410,857",3.70%,-27.20%
San Francisco County,83.27%,759,"$3,461,847,600",3.36%,-32.02%
San Joaquin County,82.89%,76,"$752,081,898",4.83%,-48.17%
San Luis Obispo County,67.68%,99,"$226,399,313",7.60%,-18.69%
San Mateo County,71.62%,222,"$2,228,972,902",5.27%,-19.41%
Santa Barbara County,71.52%,165,"$637,047,247",2.59%,-12.82%
Santa Clara County,75.38%,394,"$2,218,203,024",4.56%,-20.49%
Santa Cruz County,75.41%,122,"$203,190,171",6.29%,-27.89%
Shasta County,86.96%,69,"$418,636,591",5.17%,-46.03%
Sierra County,100.00%,5,"$1,545,738",3.70%,-64.74%
Siskiyou County,100.00%,19,"$22,744,240",7.95%,-57.12%
Solano County,78.46%,65,"$119,088,983",4.07%,-24.75%
Sonoma County,82.16%,185,"$421,558,256",1.21%,-31.47%
Stanislaus County,80.00%,70,"$196,336,427",9.07%,-28.44%
Sutter County,100.00%,17,"$104,391,853",7.72%,-75.88%
Tehama County,75.00%,8,"$14,376,569",12.04%,-40.60%
Trinity County,87.50%,8,"$13,168,397",-1.93%,-57.35%
Tulare County,77.78%,63,"$264,385,416",3.10%,-23.78%
Tuolumne County,72.22%,18,"$18,696,279",9.29%,-33.01%
Ventura County,79.89%,179,"$617,169,932",0.99%,-38.82%
Yolo County,79.10%,67,"$129,154,292",6.69%,-21.17%
Yuba County,90.00%,10,"$30,533,762",6.86%,-75.58%
