Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,75.85%,708,"$90,832,226",6.43%,-23.38%
$10M or more,79.61%,309,"$4,707,664,271",0.74%,-17.92%
$1M to $4.9M,78.35%,790,"$685,090,204",3.11%,-26.53%
$500K to $999K,79.12%,455,"$124,674,534",3.53%,-24.81%
$5M to $9.9M,80.86%,162,"$482,925,649",4.19%,-23.99%
Less than $100K,56.76%,74,"$5,499,759",46.21%,-10.02%
Total,77.46%,"2,498","$6,096,686,643",3.68%,-23.23%
