Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,79.91%,"1,080","$204,627,657",10.01%,-40.03%
$10M or more,75.92%,299,"$5,428,284,550",2.27%,-13.75%
$1M to $4.9M,79.07%,836,"$854,256,170",3.65%,-28.44%
$500K to $999K,79.50%,561,"$238,820,400",4.41%,-30.08%
$5M to $9.9M,78.32%,226,"$835,690,164",3.28%,-31.75%
Less than $100K,66.67%,162,"$28,753,303",38.68%,-16.90%
Total,78.45%,"3,164","$7,590,432,244",5.53%,-30.44%
