Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",79.01%,"1,167","$1,120,828,455",-0.06%,-19.83%
Education,80.11%,920,"$3,635,936,105",1.25%,-18.42%
Environment and animals,68.00%,200,"$661,529,417",7.02%,-11.49%
Health,84.04%,664,"$3,680,038,199",1.61%,-23.38%
Hospitals,75.00%,64,"$632,191,737",0.25%,-2.94%
Human services,80.51%,"2,099","$6,217,949,084",1.99%,-31.15%
"International, foreign affairs",75.23%,109,"$612,363,931",0.63%,-26.27%
Mutual/membership benefit,66.67%,3,"$245,105",-3.21%,-31.90%
"Public, societal benefit",81.04%,596,"$2,171,907,047",2.67%,-34.02%
Religion-related,77.38%,84,"$210,160,387",0.98%,-16.22%
Unclassified,82.29%,"1,688","$7,599,881,432",1.30%,-26.36%
Universities,73.96%,96,"$3,933,121,310",-1.11%,-7.01%
Total,80.40%,"7,690","$30,476,152,209",1.54%,-23.53%
