Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",56.90%,58,"$18,311,150",6.14%,-8.06%
Education,81.18%,85,"$82,004,454",-1.40%,-29.07%
Environment and animals,51.79%,56,"$19,969,341",13.18%,-1.72%
Health,83.78%,74,"$103,762,436",5.80%,-23.60%
Hospitals,81.82%,11,"$43,129,456",0.23%,-5.13%
Human services,69.50%,200,"$257,497,961",3.31%,-20.57%
"International, foreign affairs",42.86%,7,"$13,685,281",13.52%,5.73%
"Public, societal benefit",82.98%,47,"$56,323,044",3.63%,-29.22%
Religion-related,75.00%,4,"$691,456",-9.97%,-26.89%
Unclassified,80.09%,221,"$548,727,906",1.62%,-18.14%
Universities,60.00%,10,"$44,273,221",1.38%,-1.83%
Total,73.61%,773,"$1,188,375,706",3.18%,-17.14%
