Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,73.77%,244,"$24,776,580",5.59%,-20.13%
$10M or more,82.86%,70,"$326,369,344",-0.35%,-9.73%
$1M to $4.9M,84.32%,185,"$161,604,328",1.89%,-23.47%
$500K to $999K,78.26%,115,"$32,145,523",2.07%,-30.15%
$5M to $9.9M,80.77%,52,"$112,700,118",3.70%,-11.63%
Less than $100K,51.43%,35,"$1,742,189",40.00%,-1.77%
Total,77.60%,701,"$659,338,082",2.75%,-19.59%
