Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Iowa,72.56%,"1,177","$1,099,905,174",4.23%,-13.06%
Adams County,100.00%,2,"$620,719",-111.78%,-128.71%
Allamakee County,57.14%,7,"$793,788",11.77%,-2.78%
Appanoose County,71.43%,7,"$1,332,893",-7.48%,-12.07%
Audubon County,66.67%,3,"$160,689",-28.52%,-50.77%
Benton County,75.00%,4,"$2,135,954",0.68%,-11.38%
Black Hawk County,80.00%,50,"$80,257,798",2.63%,-16.29%
Boone County,87.50%,8,"$1,791,324",-3.78%,-16.73%
Bremer County,42.86%,7,"$974,760",8.71%,7.58%
Buchanan County,100.00%,5,"$1,281,983",-2.25%,-17.48%
Buena Vista County,100.00%,3,"$2,417,067",1.53%,-22.69%
Butler County,50.00%,2,"$309,866",37.05%,13.32%
Calhoun County,100.00%,2,"$1,539,876",13.72%,-2.77%
Carroll County,80.00%,10,"$19,985,154",8.00%,-34.57%
Cass County,83.33%,6,"$1,303,593",10.25%,-17.05%
Cedar County,66.67%,9,"$651,767",3.96%,-6.15%
Cerro Gordo County,75.00%,24,"$33,009,695",1.77%,-23.49%
Cherokee County,20.00%,5,"$2,210,516",41.98%,3.69%
Chickasaw County,83.33%,6,"$1,146,140",19.16%,-6.22%
Clarke County,66.67%,3,"$185,467",-2.15%,-46.82%
Clay County,100.00%,9,"$7,977,261",-12.72%,-63.21%
Clayton County,37.50%,8,"$1,146,672",13.78%,1.13%
Clinton County,90.48%,21,"$4,959,043",-0.45%,-16.65%
Crawford County,33.33%,6,"$2,084,178",27.28%,7.54%
Dallas County,60.00%,15,"$4,004,144",14.53%,-5.49%
Davis County,50.00%,2,"$205,813",21.06%,-4.84%
Decatur County,100.00%,5,"$6,784,871",-0.42%,-25.18%
Delaware County,66.67%,3,"$296,499",2.98%,-8.60%
Des Moines County,84.62%,13,"$25,193,756",1.83%,-18.77%
Dickinson County,80.00%,5,"$1,073,083",-22.91%,-43.03%
Dubuque County,69.09%,55,"$30,416,325",6.27%,-6.88%
Emmet County,0.00%,1,"$730,093",6.65%,4.09%
Fayette County,80.00%,5,"$2,524,855",1.40%,-20.35%
Floyd County,66.67%,6,"$642,698",10.72%,-3.99%
Franklin County,83.33%,6,"$858,497",1.55%,-26.63%
