Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",77.21%,136,"$67,514,667",2.95%,-13.81%
Education,76.52%,115,"$387,710,396",10.27%,-30.45%
Environment and animals,80.00%,60,"$95,053,689",-0.04%,-22.67%
Health,77.91%,163,"$318,838,919",3.91%,-23.21%
Hospitals,51.85%,54,"$146,933,517",0.97%,-0.12%
Human services,80.20%,586,"$996,397,894",4.24%,-31.37%
"International, foreign affairs",87.50%,8,"$3,196,067",-0.26%,-13.04%
"Public, societal benefit",83.78%,148,"$363,837,567",0.37%,-43.46%
Religion-related,80.00%,35,"$8,711,337",1.31%,-16.46%
Unclassified,75.15%,342,"$806,494,941",2.73%,-16.97%
Universities,66.67%,27,"$777,195,546",-1.10%,-10.36%
Total,77.66%,"1,674","$3,971,884,540",3.11%,-21.95%
