Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,79.83%,709,"$90,943,730",3.41%,-31.34%
$10M or more,74.23%,555,"$8,733,230,433",1.26%,-13.24%
$1M to $4.9M,78.34%,937,"$877,984,394",3.12%,-26.93%
$500K to $999K,84.03%,457,"$141,747,611",1.94%,-32.59%
$5M to $9.9M,80.82%,292,"$1,038,370,110",2.79%,-33.58%
Less than $100K,62.96%,108,"$5,258,170",19.69%,-21.91%
Total,78.48%,"3,058","$10,887,534,448",2.64%,-25.34%
