Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Arizona,80.35%,"1,313","$4,392,559,541",4.45%,-26.25%
1st Congressional district,75.17%,145,"$382,455,872",4.24%,-17.24%
2nd Congressional district,80.75%,187,"$300,983,755",4.45%,-29.48%
3rd Congressional district,83.15%,267,"$1,346,502,225",2.98%,-34.29%
4th Congressional district,78.23%,147,"$516,693,798",5.23%,-16.94%
5th Congressional district,85.07%,67,"$446,936,944",4.33%,-73.92%
6th Congressional district,79.49%,117,"$284,698,751",4.82%,-20.28%
7th Congressional district,81.39%,231,"$847,917,231",5.32%,-24.49%
8th Congressional district,78.57%,84,"$122,954,118",5.27%,-17.65%
9th Congressional district,79.41%,68,"$143,416,847",5.32%,-35.27%
