Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,80.05%,401,"$58,661,118",4.51%,-34.02%
$10M or more,77.10%,131,"$1,262,933,262",1.86%,-18.63%
$1M to $4.9M,80.95%,357,"$404,190,082",4.18%,-37.19%
$500K to $999K,82.20%,191,"$76,057,477",5.13%,-28.41%
$5M to $9.9M,89.47%,76,"$318,645,896",3.23%,-68.57%
Less than $100K,75.32%,77,"$18,825,682",19.26%,-43.45%
Total,80.62%,"1,233","$2,139,313,517",3.90%,-32.56%
