Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,68.90%,598,"$68,677,842",8.59%,-18.87%
$10M or more,75.89%,535,"$13,443,153,314",2.46%,-11.61%
$1M to $4.9M,71.59%,820,"$648,735,438",6.56%,-15.08%
$500K to $999K,71.06%,425,"$103,529,663",5.47%,-17.67%
$5M to $9.9M,70.41%,196,"$411,331,309",4.52%,-11.72%
Less than $100K,57.89%,95,"$4,427,065",23.69%,-7.54%
Total,71.19%,"2,669","$14,679,854,631",5.06%,-15.05%
