Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",81.46%,151,"$875,631,880",2.69%,-32.85%
Education,74.56%,169,"$567,684,532",3.11%,-12.67%
Environment and animals,75.00%,60,"$333,450,954",4.91%,-18.23%
Health,77.22%,79,"$309,400,314",0.84%,-35.10%
Hospitals,100.00%,2,"$4,213,512",-3.46%,-54.65%
Human services,85.96%,285,"$1,667,345,878",1.95%,-44.25%
"International, foreign affairs",84.21%,114,"$5,478,144,172",0.16%,-44.21%
Mutual/membership benefit,66.67%,3,"$1,505,182",8.79%,-91.02%
"Public, societal benefit",76.10%,159,"$1,334,857,183",2.41%,-32.19%
Religion-related,69.23%,13,"$31,122,983",-0.75%,-14.52%
Unclassified,82.47%,251,"$3,133,663,375",1.35%,-23.40%
Universities,62.50%,8,"$629,769,159",4.06%,-13.12%
Total,80.53%,"1,294","$14,366,789,124",1.96%,-29.66%
