Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Maryland,79.71%,"2,243","$6,835,023,277",3.09%,-25.74%
1st Congressional district,82.49%,337,"$386,137,859",5.07%,-33.08%
2nd Congressional district,76.47%,238,"$2,052,641,137",1.51%,-24.34%
3rd Congressional district,75.63%,238,"$584,006,040",2.26%,-18.97%
4th Congressional district,76.47%,153,"$364,449,476",3.21%,-31.34%
5th Congressional district,82.29%,175,"$166,637,446",3.67%,-35.07%
6th Congressional district,81.94%,310,"$282,470,633",3.83%,-26.75%
7th Congressional district,82.25%,417,"$1,377,089,414",2.76%,-28.11%
8th Congressional district,77.21%,373,"$1,621,126,852",3.35%,-19.62%
Delegate district (at large),100.00%,2,"$464,420",-1.77%,-56.73%
