Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Minnesota,78.52%,"2,481","$4,249,772,986",1.11%,-24.51%
Aitkin County,50.00%,10,"$1,400,845",12.26%,-4.97%
Anoka County,76.47%,51,"$67,611,638",0.58%,-15.24%
Becker County,73.33%,15,"$37,304,247",6.06%,-16.14%
Beltrami County,94.29%,35,"$43,680,761",2.68%,-46.35%
Benton County,90.91%,11,"$9,439,055",0.25%,-39.69%
Big Stone County,100.00%,4,"$294,262",-18.54%,-34.43%
Blue Earth County,79.41%,34,"$56,119,370",3.43%,-33.89%
Brown County,60.00%,15,"$1,028,849",2.88%,-2.48%
Carlton County,77.78%,9,"$2,461,323",-5.68%,-10.62%
Carver County,75.00%,16,"$23,962,660",2.79%,-9.04%
Cass County,78.26%,23,"$4,079,546",1.55%,-31.22%
Chippewa County,100.00%,7,"$9,857,919",2.27%,-49.32%
Chisago County,80.00%,15,"$17,048,829",3.36%,-14.44%
Clay County,76.47%,17,"$25,675,991",-1.63%,-38.86%
Clearwater County,66.67%,3,"$172,137",-9.44%,-30.69%
Cook County,93.33%,15,"$8,159,778",6.86%,-36.40%
Cottonwood County,100.00%,2,"$46,755",-14.17%,-29.58%
Crow Wing County,77.42%,31,"$11,751,106",0.96%,-13.84%
Dakota County,75.00%,60,"$41,904,035",0.95%,-22.08%
Dodge County,66.67%,3,"$207,749",6.90%,-0.43%
Douglas County,53.85%,13,"$12,418,937",15.54%,-2.59%
Faribault County,40.00%,5,"$230,969",4.37%,4.34%
Fillmore County,81.82%,11,"$15,893,978",-2.74%,-28.98%
Freeborn County,88.89%,9,"$3,690,390",3.70%,-15.86%
Goodhue County,75.00%,20,"$18,915,552",6.38%,-17.05%
Grant County,100.00%,3,"$13,594,682",0.57%,-52.39%
Hennepin County,79.33%,682,"$1,551,077,075",0.23%,-25.94%
Houston County,91.67%,12,"$2,156,148",-2.79%,-14.59%
Hubbard County,66.67%,6,"$1,864,008",6.11%,-36.34%
Isanti County,50.00%,8,"$5,422,882",28.60%,6.04%
Itasca County,76.67%,30,"$20,879,542",5.74%,-16.48%
Jackson County,100.00%,2,"$58,883",-0.21%,-9.12%
Kanabec County,50.00%,6,"$12,351,666",6.46%,-3.25%
Kandiyohi County,52.94%,17,"$13,669,226",6.91%,-0.44%
Kittson County,0.00%,3,"$693,259",20.64%,4.70%
Koochiching County,75.00%,8,"$1,145,810",3.75%,-16.50%
Lac qui Parle County,100.00%,5,"$2,274,018",-0.89%,-79.19%
Lake County,64.29%,14,"$3,243,560",10.89%,-8.62%
Lake of the Woods County,100.00%,3,"$710,453",-15.00%,-24.19%
Le Sueur County,50.00%,4,"$704,432",28.57%,-5.35%
Lincoln County,50.00%,4,"$9,364,269",10.68%,0.45%
Lyon County,80.00%,15,"$33,366,648",-0.29%,-56.62%
Mahnomen County,100.00%,1,"$3,758,537",-8.13%,-105.93%
Marshall County,100.00%,6,"$872,840",0.49%,-27.84%
Martin County,63.64%,11,"$6,657,955",7.50%,-9.79%
McLeod County,84.62%,13,"$13,147,309",3.24%,-52.86%
Meeker County,80.00%,5,"$3,119,801",17.92%,-5.82%
Mille Lacs County,83.33%,6,"$1,042,925",8.43%,-11.07%
Morrison County,80.00%,20,"$22,757,626",-4.34%,-35.79%
Mower County,66.67%,18,"$10,916,004",10.11%,-11.24%
Murray County,80.00%,5,"$1,420,337",1.40%,-13.89%
Nicollet County,66.67%,9,"$3,752,876",9.60%,-6.95%
Nobles County,88.89%,9,"$7,961,086",4.09%,-24.38%
Norman County,25.00%,4,"$490,616",30.60%,27.34%
Olmsted County,73.02%,63,"$507,502,965",2.21%,-14.46%
Otter Tail County,69.23%,26,"$12,529,626",5.74%,-10.13%
Pennington County,50.00%,4,"$2,611,679",19.98%,-18.62%
Pine County,76.92%,13,"$1,894,576",-0.91%,-24.18%
Pipestone County,100.00%,4,"$310,334",-9.86%,-48.77%
Polk County,71.43%,14,"$41,536,778",5.03%,-23.63%
Pope County,40.00%,5,"$1,867,591",30.02%,23.04%
Ramsey County,84.11%,535,"$1,030,288,294",-2.07%,-50.65%
Red Lake County,100.00%,1,"$4,708,681",0.07%,-96.41%
Redwood County,83.33%,6,"$683,957",7.97%,-13.12%
Renville County,72.73%,11,"$1,068,233",3.60%,-7.72%
Rice County,82.50%,40,"$33,372,765",1.64%,-30.53%
Rock County,75.00%,8,"$557,440",2.28%,-4.45%
Roseau County,80.00%,5,"$5,319,358",-2.15%,-68.23%
Scott County,76.92%,13,"$21,203,965",8.43%,-37.54%
Sherburne County,69.23%,13,"$12,939,010",1.72%,-13.23%
Sibley County,55.56%,9,"$5,792,689",10.22%,-5.18%
St. Louis County,80.00%,145,"$184,083,803",1.93%,-22.39%
Stearns County,75.93%,54,"$86,191,716",3.98%,-16.05%
Steele County,76.92%,13,"$4,418,018",4.77%,-15.74%
Stevens County,85.71%,7,"$1,404,351",2.07%,-7.87%
Swift County,75.00%,4,"$1,310,064",11.41%,-14.46%
Todd County,55.56%,9,"$6,217,954",6.25%,-1.28%
Traverse County,100.00%,1,"$183,756",-36.75%,-119.70%
Wabasha County,66.67%,6,"$671,529",12.67%,-8.59%
Wadena County,75.00%,4,"$1,074,123",-0.96%,-6.33%
Waseca County,92.31%,13,"$4,392,750",-4.63%,-35.43%
