Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,81.95%,133,"$17,366,816",4.44%,-31.79%
$10M or more,88.89%,9,"$78,938,638",-1.38%,-44.28%
$1M to $4.9M,80.00%,90,"$99,425,263",1.61%,-43.70%
$500K to $999K,83.33%,66,"$24,508,598",5.57%,-36.87%
$5M to $9.9M,95.83%,24,"$61,161,744",-2.00%,-42.04%
Less than $100K,64.29%,14,"$3,345,682",14.84%,-19.69%
Total,82.14%,336,"$284,746,741",3.04%,-36.51%
