Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",77.99%,268,"$170,360,143",-1.19%,-22.24%
Education,86.32%,307,"$1,039,176,898",2.05%,-72.96%
Environment and animals,75.00%,76,"$130,279,378",3.98%,-23.16%
Health,74.44%,180,"$283,746,403",2.49%,-15.40%
Hospitals,44.68%,47,"$512,065,589",2.67%,1.54%
Human services,75.59%,848,"$637,507,848",0.71%,-19.25%
"International, foreign affairs",88.24%,17,"$53,132,193",-3.10%,-38.64%
Mutual/membership benefit,54.55%,11,"$1,049,869",11.04%,-39.68%
"Public, societal benefit",82.63%,190,"$381,320,858",3.25%,-37.37%
Religion-related,83.33%,36,"$27,734,747",0.47%,-12.37%
Unclassified,82.49%,474,"$919,367,120",0.55%,-24.76%
Universities,81.48%,27,"$94,031,940",-1.93%,-8.27%
Total,78.52%,"2,481","$4,249,772,986",1.11%,-24.51%
