Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",69.58%,332,"$85,113,586",1.87%,-15.37%
Education,65.57%,305,"$716,522,839",6.73%,-9.56%
Environment and animals,52.58%,97,"$397,806,048",16.98%,-0.84%
Health,77.98%,218,"$1,548,254,646",3.17%,-14.55%
Hospitals,57.89%,19,"$1,626,071,319",2.78%,-1.69%
Human services,74.68%,774,"$4,491,547,817",5.13%,-21.41%
"International, foreign affairs",69.57%,23,"$847,362,974",1.18%,-21.76%
"Public, societal benefit",74.21%,221,"$478,901,844",7.16%,-22.72%
Religion-related,55.56%,18,"$8,771,347",10.41%,-5.69%
Unclassified,71.43%,609,"$2,552,098,778",5.75%,-14.22%
Universities,64.15%,53,"$1,927,403,433",-0.38%,-4.63%
Total,71.19%,"2,669","$14,679,854,631",5.06%,-15.05%
