Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",75.00%,36,"$4,193,521",-4.04%,-18.70%
Education,75.61%,41,"$12,774,920",8.43%,-10.09%
Environment and animals,66.67%,54,"$29,945,548",7.33%,-12.29%
Health,79.63%,54,"$99,432,845",2.29%,-18.58%
Hospitals,40.62%,32,"$31,799,972",4.12%,1.59%
Human services,79.89%,184,"$166,631,879",6.72%,-26.37%
"International, foreign affairs",100.00%,1,"$1,939,371",-20.92%,-71.28%
"Public, societal benefit",72.88%,59,"$43,680,395",7.42%,-28.11%
Religion-related,71.43%,7,"$1,864,456",4.99%,-10.09%
Unclassified,78.91%,128,"$222,101,585",2.46%,-21.25%
Universities,83.33%,6,"$41,535,926",1.90%,-42.09%
Total,75.08%,602,"$655,900,418",4.01%,-18.69%
