Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Oklahoma,81.76%,817,"$1,408,150,532",4.27%,-37.78%
Adair County,100.00%,3,"$533,623",8.70%,-20.14%
Alfalfa County,50.00%,2,"$4,422,614",8.53%,-12.28%
Beckham County,75.00%,4,"$1,250,919",10.58%,-33.13%
Blaine County,100.00%,2,"$588,763",0.36%,-61.50%
Bryan County,90.00%,10,"$30,965,416",6.02%,-53.63%
Caddo County,75.00%,4,"$5,352,621",-6.30%,-101.16%
Canadian County,60.00%,5,"$2,031,409",8.64%,-8.06%
Carter County,65.00%,20,"$16,259,003",11.09%,-18.02%
Cherokee County,73.68%,19,"$12,899,199",12.10%,-41.12%
Choctaw County,100.00%,10,"$17,110,913",-34.37%,-86.69%
Cleveland County,71.79%,39,"$22,273,880",4.80%,-31.00%
Coal County,100.00%,1,"$33,392",-41.09%,-79.40%
Comanche County,85.00%,20,"$9,478,674",0.37%,-33.86%
Craig County,100.00%,7,"$2,712,894",-12.42%,-84.68%
Creek County,80.00%,5,"$1,567,803",9.99%,-55.49%
Custer County,85.71%,7,"$4,105,071",12.82%,-2.20%
Delaware County,42.86%,7,"$2,408,066",30.09%,8.53%
Dewey County,100.00%,1,"$605,314",-0.12%,-99.50%
Ellis County,100.00%,1,"$1,193,938",3.64%,-5.11%
Garfield County,89.47%,19,"$11,749,486",-3.35%,-46.47%
Garvin County,100.00%,3,"$13,912,887",5.60%,-82.60%
Grady County,100.00%,7,"$6,313,984",0.47%,-82.04%
Harmon County,100.00%,1,"$2,587,536",7.07%,-66.77%
Haskell County,100.00%,2,"$44,606,528",7.00%,-44.54%
Hughes County,100.00%,3,"$6,066,008",-1.49%,-58.09%
Jackson County,80.00%,5,"$7,354,093",0.03%,-70.12%
Johnston County,100.00%,4,"$10,270,107",7.85%,-35.87%
Kay County,100.00%,9,"$2,985,400",-3.75%,-43.59%
Kingfisher County,100.00%,2,"$311,116",-19.72%,-61.93%
Kiowa County,100.00%,2,"$6,556,939",8.20%,-80.85%
Le Flore County,100.00%,5,"$2,273,713",4.64%,-72.94%
Lincoln County,100.00%,1,"$85,540",-14.76%,-74.44%
Logan County,100.00%,6,"$5,117,111",5.64%,-47.10%
Love County,100.00%,2,"$67,702",-73.38%,-131.94%
Major County,100.00%,1,"$1,178,713",29.41%,-16.07%
Marshall County,50.00%,2,"$776,823",42.18%,-11.42%
Mayes County,71.43%,7,"$782,995",10.62%,-47.15%
McClain County,100.00%,2,"$2,201,570",-1.25%,-95.65%
McCurtain County,80.00%,5,"$8,930,995",7.45%,-14.70%
McIntosh County,100.00%,1,"$1,001,953",-1.65%,-81.50%
Muskogee County,90.00%,20,"$19,280,229",3.94%,-48.94%
Noble County,100.00%,1,"$121,744",-18.85%,-33.96%
Nowata County,100.00%,3,"$26,334,352",2.28%,-20.94%
Okfuskee County,100.00%,2,"$200,018",0.88%,-32.39%
Oklahoma County,83.71%,221,"$614,835,397",1.99%,-35.42%
Okmulgee County,50.00%,4,"$3,871,962",17.99%,-18.25%
Osage County,66.67%,6,"$5,589,066",10.09%,-17.79%
Ottawa County,88.89%,9,"$4,890,953",9.35%,-43.15%
Pawnee County,100.00%,5,"$20,241,103",-0.40%,-67.24%
Payne County,94.44%,18,"$12,522,950",4.80%,-44.63%
Pittsburg County,50.00%,8,"$5,182,483",25.04%,-6.93%
Pontotoc County,87.50%,16,"$6,588,058",-4.71%,-70.79%
Pottawatomie County,88.89%,18,"$23,027,206",7.01%,-65.45%
Pushmataha County,100.00%,1,"$2,654,768",5.45%,-38.64%
Rogers County,93.33%,15,"$28,694,332",6.02%,-53.50%
Seminole County,100.00%,5,"$8,232,784",1.84%,-68.21%
Sequoyah County,50.00%,4,"$873,954",38.09%,6.54%
Stephens County,87.50%,8,"$8,548,601",6.79%,-14.31%
Texas County,100.00%,4,"$3,947,522",-8.35%,-47.32%
Tillman County,100.00%,2,"$11,331,611",4.76%,-55.36%
Tulsa County,74.85%,163,"$302,522,372",4.39%,-24.29%
Wagoner County,100.00%,2,"$2,850,738",12.79%,-52.10%
Washington County,66.67%,18,"$18,499,497",1.74%,-14.98%
Woods County,50.00%,2,"$85,644",-0.48%,-11.48%
Woodward County,100.00%,6,"$6,298,477",-2.71%,-90.32%
