Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,73.97%,146,"$15,109,195",3.72%,-23.46%
$10M or more,70.21%,47,"$329,917,801",3.52%,-6.28%
$1M to $4.9M,78.29%,152,"$227,223,833",4.33%,-46.66%
$500K to $999K,67.95%,78,"$20,055,758",8.35%,-10.90%
$5M to $9.9M,89.29%,28,"$119,412,399",-0.44%,-75.60%
Less than $100K,66.67%,12,"$685,869",18.24%,-21.21%
Total,74.73%,463,"$712,404,855",4.24%,-25.66%
