Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Michigan,76.65%,"2,330","$5,223,442,891",3.05%,-21.41%
Alcona County,0.00%,2,"$690,802",34.32%,17.92%
Alger County,100.00%,2,"$1,065,349",5.13%,-10.31%
Allegan County,56.25%,16,"$15,422,935",6.26%,-9.80%
Alpena County,52.63%,19,"$80,947,092",12.52%,-3.10%
Antrim County,100.00%,3,"$778,131",0.60%,-11.53%
Arenac County,100.00%,3,"$5,398,011",15.51%,-28.06%
Baraga County,80.00%,5,"$1,444,223",1.32%,-20.43%
Barry County,72.73%,11,"$2,049,638",6.00%,-3.31%
Bay County,77.27%,22,"$22,287,008",11.96%,-12.24%
Benzie County,83.33%,6,"$4,734,247",-0.06%,-46.37%
Berrien County,85.37%,41,"$47,986,100",5.87%,-43.73%
Branch County,42.86%,7,"$3,502,320",4.09%,1.22%
Calhoun County,72.73%,44,"$56,537,471",7.42%,-14.81%
Cass County,71.43%,7,"$5,734,888",16.14%,-2.25%
Charlevoix County,64.29%,14,"$5,436,131",4.43%,-8.44%
Cheboygan County,66.67%,6,"$1,771,231",6.81%,-17.43%
Chippewa County,81.82%,22,"$33,576,864",0.62%,-41.44%
Clare County,75.00%,4,"$18,916,829",2.28%,-46.66%
Clinton County,58.33%,12,"$8,204,351",7.21%,-11.24%
Crawford County,66.67%,3,"$694,572",29.57%,-15.42%
Delta County,90.91%,11,"$18,658,669",0.47%,-48.38%
Dickinson County,62.50%,8,"$5,333,425",2.11%,-34.77%
Eaton County,78.12%,32,"$89,830,395",1.59%,-24.08%
Emmet County,75.00%,20,"$7,253,571",-0.73%,-12.49%
Genesee County,81.61%,87,"$149,759,166",0.24%,-33.06%
Gladwin County,0.00%,2,"$780,695",17.93%,12.23%
Gogebic County,83.33%,6,"$6,524,717",7.24%,-13.93%
Grand Traverse County,83.02%,53,"$74,556,943",3.65%,-15.08%
Gratiot County,77.78%,9,"$10,529,510",0.90%,-12.54%
Hillsdale County,50.00%,8,"$3,351,127",7.82%,-1.97%
Houghton County,62.50%,24,"$17,049,071",11.33%,-37.55%
Huron County,77.78%,9,"$5,581,810",2.38%,-7.01%
Ingham County,84.91%,159,"$410,191,486",0.36%,-26.13%
Ionia County,77.78%,9,"$21,025,006",-0.32%,-29.91%
Iosco County,50.00%,6,"$4,863,610",15.89%,-31.61%
Iron County,100.00%,6,"$2,866,703",-8.57%,-65.79%
Isabella County,77.27%,22,"$16,345,585",2.86%,-14.36%
Jackson County,86.67%,30,"$45,949,375",-1.80%,-25.48%
Kalamazoo County,70.54%,112,"$180,675,750",2.92%,-13.80%
Kalkaska County,100.00%,1,"$214,532",4.41%,-54.22%
Kent County,66.67%,174,"$551,403,526",4.45%,-12.28%
Lake County,100.00%,5,"$9,080,911",1.96%,-44.92%
Lapeer County,90.91%,11,"$4,586,113",2.27%,-47.41%
Leelanau County,45.45%,11,"$8,483,143",13.22%,6.43%
Lenawee County,65.22%,23,"$8,249,800",7.43%,-17.31%
Livingston County,84.62%,13,"$9,143,223",3.72%,-7.47%
Luce County,100.00%,1,"$4,000",-146.25%,-246.25%
Mackinac County,63.64%,11,"$3,104,653",13.30%,-3.77%
Macomb County,85.05%,107,"$112,891,672",0.81%,-59.56%
Manistee County,62.50%,8,"$1,136,335",1.18%,-11.11%
Marquette County,84.38%,32,"$33,865,757",6.29%,-12.05%
Mason County,66.67%,9,"$6,902,635",3.35%,-30.56%
Mecosta County,87.50%,8,"$1,349,647",1.91%,-26.09%
Menominee County,60.00%,5,"$453,457",37.73%,-0.90%
Midland County,77.78%,36,"$205,647,685",1.27%,-27.83%
Missaukee County,0.00%,2,"$29,383",14.93%,13.24%
Monroe County,78.26%,23,"$18,504,071",2.33%,-29.71%
Montcalm County,80.00%,10,"$18,344,340",7.55%,-22.73%
Montmorency County,100.00%,2,"$6,676,301",-5.12%,-27.90%
Muskegon County,81.08%,37,"$85,159,076",0.81%,-18.66%
Newaygo County,90.00%,10,"$19,257,750",3.10%,-47.41%
Oakland County,78.74%,207,"$374,562,686",1.94%,-24.16%
Oceana County,66.67%,3,"$635,238",9.95%,-7.53%
Ogemaw County,50.00%,4,"$2,385,371",8.92%,-2.81%
Ontonagon County,100.00%,2,"$1,599,305",1.88%,-52.65%
Osceola County,50.00%,2,"$317,495",27.83%,10.76%
Oscoda County,100.00%,1,"$407,787",5.90%,-54.33%
Otsego County,66.67%,12,"$5,451,957",7.59%,-26.07%
Ottawa County,76.06%,71,"$57,952,240",3.07%,-17.37%
Presque Isle County,100.00%,2,"$1,330,985",10.29%,-62.63%
Roscommon County,100.00%,5,"$7,126,180",10.65%,-33.45%
Saginaw County,73.91%,46,"$86,399,243",1.75%,-20.58%
Sanilac County,100.00%,8,"$4,117,541",1.78%,-25.27%
Schoolcraft County,100.00%,1,"$946,578",-1.64%,-3.54%
Shiawassee County,77.78%,9,"$3,938,554",2.82%,-5.02%
St. Clair County,68.57%,35,"$26,015,527",4.88%,-17.67%
St. Joseph County,75.00%,8,"$10,575,131",2.34%,-21.73%
Tuscola County,66.67%,6,"$18,441,425",1.23%,-10.34%
Van Buren County,58.33%,12,"$28,068,388",4.86%,-43.06%
Washtenaw County,74.47%,141,"$754,100,539",4.10%,-19.44%
Wayne County,81.10%,344,"$1,343,157,346",2.59%,-31.19%
Wexford County,60.00%,10,"$3,120,558",4.49%,-19.28%
