Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,79.11%,158,"$40,921,642",6.64%,-23.90%
$10M or more,83.05%,59,"$1,716,090,191",3.15%,-34.03%
$1M to $4.9M,89.01%,182,"$216,211,567",2.73%,-42.72%
$500K to $999K,89.22%,102,"$36,988,817",1.06%,-47.18%
$5M to $9.9M,89.19%,37,"$118,277,260",2.37%,-36.63%
Less than $100K,57.14%,28,"$6,516,230",10.89%,-25.02%
Total,84.10%,566,"$2,135,005,707",3.15%,-36.53%
