Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,71.61%,641,"$71,393,395",5.75%,-23.71%
$10M or more,79.92%,249,"$2,766,918,395",1.04%,-10.10%
$1M to $4.9M,79.50%,683,"$505,401,663",2.94%,-21.69%
$500K to $999K,79.95%,439,"$116,595,258",2.49%,-25.33%
$5M to $9.9M,69.40%,183,"$338,524,085",3.98%,-8.64%
Less than $100K,50.56%,89,"$5,636,801",38.31%,-4.75%
Total,75.48%,"2,284","$3,804,469,597",3.59%,-19.07%
