Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Wisconsin,74.04%,"1,876","$3,080,971,573",3.92%,-17.66%
Adams County,100.00%,2,"$593,531",-2.53%,-34.36%
Ashland County,83.33%,12,"$19,438,014",1.67%,-63.80%
Barron County,78.57%,14,"$2,649,737",0.62%,-24.83%
Bayfield County,50.00%,6,"$9,920,435",3.69%,-4.41%
Brown County,67.61%,71,"$87,645,082",4.65%,-13.67%
Burnett County,100.00%,7,"$1,887,006",2.19%,-29.32%
Calumet County,50.00%,4,"$730,034",8.68%,0.68%
Chippewa County,63.64%,11,"$2,420,222",14.33%,-8.91%
Clark County,40.00%,5,"$783,526",6.86%,0.85%
Columbia County,75.00%,8,"$21,871,252",5.82%,-19.83%
Crawford County,57.14%,7,"$1,557,623",8.95%,-2.80%
Dane County,76.99%,326,"$530,746,800",3.55%,-22.52%
Dodge County,73.33%,15,"$2,396,536",0.34%,-18.80%
Door County,59.26%,27,"$6,594,960",6.52%,-6.06%
Douglas County,92.59%,27,"$20,639,982",0.19%,-61.74%
Dunn County,92.31%,13,"$16,084,919",-1.05%,-36.24%
Eau Claire County,79.41%,34,"$17,665,583",7.67%,-13.23%
Fond du Lac County,79.31%,29,"$366,225,875",0.71%,-21.01%
Forest County,0.00%,2,"$355,832",25.73%,8.92%
Grant County,46.67%,15,"$16,232,215",8.88%,4.05%
Green County,50.00%,12,"$7,888,750",24.57%,-4.28%
Green Lake County,62.50%,8,"$2,394,321",3.09%,-6.29%
Iowa County,63.16%,19,"$19,139,345",6.48%,-12.14%
Iron County,50.00%,2,"$217,643",-0.17%,-49.55%
Jackson County,60.00%,5,"$174,604",-8.95%,-15.10%
Jefferson County,61.54%,13,"$2,618,965",2.67%,-2.73%
Juneau County,62.50%,8,"$785,158",6.42%,-1.70%
Kenosha County,87.50%,24,"$42,780,525",0.17%,-26.63%
Kewaunee County,50.00%,4,"$145,884",1.27%,-0.85%
La Crosse County,82.35%,51,"$54,771,204",1.68%,-17.87%
Lafayette County,80.00%,5,"$794,332",12.22%,-5.17%
Langlade County,75.00%,4,"$3,086,484",-5.33%,-57.82%
Lincoln County,100.00%,1,"$474,836",6.76%,-61.52%
Manitowoc County,62.50%,24,"$6,845,077",5.52%,-6.76%
Marathon County,69.05%,42,"$24,626,011",3.10%,-14.83%
Marinette County,88.89%,18,"$2,598,591",1.25%,-18.20%
Menominee County,100.00%,3,"$13,503,964",4.70%,-74.51%
Milwaukee County,79.58%,377,"$1,084,963,327",2.20%,-30.08%
Monroe County,75.00%,12,"$17,190,773",4.63%,-21.34%
Oconto County,77.78%,9,"$32,721,853",8.15%,-20.93%
Oneida County,86.67%,15,"$9,375,032",0.55%,-39.65%
Outagamie County,60.34%,58,"$63,130,740",6.40%,-4.94%
Ozaukee County,72.73%,22,"$21,409,211",9.01%,-12.05%
Pepin County,0.00%,1,"$219,038",4.00%,2.74%
Pierce County,71.43%,7,"$2,299,977",4.57%,-3.09%
Polk County,69.23%,13,"$2,362,632",7.60%,-6.97%
Portage County,75.00%,24,"$22,620,454",1.41%,-17.07%
Price County,0.00%,2,"$763,532",33.62%,31.46%
Racine County,88.10%,42,"$32,501,297",1.89%,-27.58%
Richland County,60.00%,5,"$3,079,963",10.66%,-3.65%
Rock County,79.07%,43,"$43,398,834",4.62%,-12.14%
Rusk County,100.00%,2,"$3,822,054",-9.58%,-91.75%
Sauk County,66.67%,15,"$6,948,356",2.13%,-3.35%
Sawyer County,66.67%,18,"$27,463,564",10.18%,-20.76%
Shawano County,66.67%,6,"$1,262,025",24.32%,-21.42%
Sheboygan County,68.42%,38,"$21,054,188",3.95%,-8.85%
St. Croix County,45.45%,22,"$16,935,274",6.40%,1.42%
Taylor County,71.43%,7,"$4,005,553",13.47%,-27.42%
Trempealeau County,50.00%,2,"$18,239,139",5.38%,-43.91%
Vernon County,64.29%,14,"$13,754,760",6.26%,-20.78%
Vilas County,62.50%,8,"$14,876,371",10.59%,-2.58%
Walworth County,53.33%,15,"$3,521,157",5.69%,-8.28%
Washburn County,63.64%,11,"$1,961,949",6.84%,-27.87%
Washington County,54.55%,22,"$7,997,634",13.11%,-4.51%
Waukesha County,76.29%,97,"$90,348,399",5.26%,-14.32%
Waupaca County,85.71%,14,"$2,109,885",0.99%,-5.64%
Waushara County,50.00%,8,"$7,637,151",19.65%,-0.61%
Winnebago County,72.34%,47,"$97,293,380",3.26%,-14.68%
Wood County,81.82%,22,"$96,419,213",0.81%,-16.73%
