Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,82.02%,178,"$29,834,914",6.93%,-40.18%
$10M or more,79.71%,345,"$13,494,526,941",1.57%,-20.03%
$1M to $4.9M,80.75%,452,"$395,280,176",2.24%,-31.63%
$500K to $999K,87.23%,141,"$44,658,119",-0.07%,-38.93%
$5M to $9.9M,73.37%,169,"$401,905,881",1.51%,-17.70%
Less than $100K,100.00%,9,"$583,093",3.70%,-79.56%
Total,80.53%,"1,294","$14,366,789,124",1.96%,-29.66%
