Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
New York,80.40%,"7,690","$30,476,152,209",1.54%,-23.53%
Albany County,81.47%,232,"$1,934,360,641",1.80%,-30.60%
Allegany County,88.46%,26,"$63,082,956",-0.74%,-43.88%
Bronx County,89.03%,310,"$2,337,947,989",0.64%,-40.80%
Broome County,73.91%,92,"$75,881,162",5.82%,-18.26%
Cattaraugus County,81.25%,32,"$49,880,381",1.13%,-43.93%
Cayuga County,85.00%,40,"$146,114,672",-0.19%,-23.13%
Chautauqua County,90.91%,77,"$58,458,831",0.80%,-29.61%
Chemung County,76.67%,30,"$28,006,753",1.69%,-25.65%
Chenango County,83.33%,18,"$21,949,781",-0.66%,-29.37%
Clinton County,86.11%,36,"$44,305,014",-0.14%,-35.37%
Columbia County,77.59%,58,"$19,029,512",0.96%,-21.60%
Cortland County,88.46%,26,"$24,046,531",6.46%,-16.56%
Delaware County,83.33%,36,"$64,129,628",1.72%,-23.98%
Dutchess County,74.40%,125,"$98,055,476",2.64%,-15.06%
Erie County,84.55%,382,"$676,461,490",0.48%,-21.55%
Essex County,73.17%,41,"$19,594,037",2.74%,-23.23%
Franklin County,75.00%,36,"$97,511,674",4.04%,-23.92%
Fulton County,77.78%,18,"$19,453,930",0.38%,-44.14%
Genesee County,80.95%,21,"$15,567,327",13.40%,-38.84%
Greene County,82.76%,29,"$8,498,621",1.48%,-55.23%
Hamilton County,66.67%,6,"$1,275,669",7.46%,-10.26%
Herkimer County,80.95%,21,"$4,528,829",7.76%,-16.58%
Jefferson County,86.44%,59,"$67,417,330",-0.12%,-33.47%
Kings County,82.04%,785,"$2,948,700,959",0.78%,-27.60%
Lewis County,61.11%,18,"$6,849,353",8.15%,-14.73%
Livingston County,87.50%,16,"$20,118,075",-4.18%,-34.36%
Madison County,73.68%,38,"$33,342,557",5.19%,-13.07%
Monroe County,78.84%,293,"$1,114,411,117",1.43%,-19.72%
Montgomery County,81.82%,22,"$18,988,311",3.40%,-44.55%
Nassau County,75.70%,284,"$1,026,445,080",2.06%,-13.09%
New York County,78.53%,"1,872","$14,398,851,973",0.58%,-22.40%
Niagara County,83.93%,56,"$50,181,611",3.88%,-18.94%
Oneida County,89.29%,84,"$150,576,789",-1.83%,-26.47%
Onondaga County,82.47%,194,"$372,288,604",2.41%,-25.99%
Ontario County,68.66%,67,"$61,863,429",3.96%,-16.22%
Orange County,81.18%,85,"$156,309,784",0.34%,-33.66%
Orleans County,76.92%,13,"$12,494,140",4.77%,-61.03%
Oswego County,86.49%,37,"$42,387,245",4.86%,-21.91%
Otsego County,56.67%,30,"$29,549,782",3.98%,-4.69%
Putnam County,92.31%,39,"$21,223,061",2.11%,-49.01%
Queens County,85.84%,339,"$1,420,026,565",3.68%,-35.46%
Rensselaer County,87.30%,63,"$87,083,755",2.21%,-21.87%
Richmond County,86.67%,90,"$236,827,695",4.54%,-44.19%
Rockland County,78.99%,119,"$192,393,319",2.63%,-14.00%
Saratoga County,71.62%,74,"$64,115,267",4.51%,-20.26%
Schenectady County,83.02%,53,"$84,786,395",0.32%,-20.10%
Schoharie County,60.00%,15,"$7,087,519",13.14%,-13.83%
Schuyler County,71.43%,7,"$7,945,918",-0.89%,-6.91%
Seneca County,73.33%,15,"$3,891,932",-0.61%,-19.14%
St. Lawrence County,90.14%,71,"$88,777,920",0.51%,-18.13%
Steuben County,76.92%,52,"$66,010,225",3.90%,-20.95%
Suffolk County,78.26%,368,"$546,958,349",2.35%,-29.85%
Sullivan County,83.33%,42,"$32,779,097",1.05%,-19.69%
Tioga County,75.00%,12,"$7,168,187",6.01%,-72.14%
Tompkins County,81.25%,96,"$104,649,994",0.12%,-16.83%
Ulster County,63.95%,86,"$107,303,919",4.87%,-14.23%
Warren County,80.43%,46,"$54,700,605",2.18%,-21.62%
Washington County,82.35%,34,"$20,265,851",0.87%,-12.42%
Wayne County,80.00%,20,"$17,726,371",6.82%,-43.86%
Westchester County,77.99%,368,"$956,141,008",2.76%,-14.27%
Wyoming County,91.30%,23,"$3,998,780",-2.27%,-67.83%
Yates County,69.23%,13,"$25,373,434",2.77%,-7.80%
