Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",83.15%,184,"$98,217,229",0.49%,-25.48%
Education,74.66%,292,"$1,179,699,749",4.66%,-24.24%
Environment and animals,64.29%,56,"$26,070,560",11.09%,-19.06%
Health,84.78%,276,"$537,299,541",2.10%,-29.59%
Hospitals,72.73%,22,"$669,379,655",1.17%,-3.84%
Human services,79.36%,780,"$1,067,684,944",4.25%,-30.25%
"International, foreign affairs",84.62%,13,"$7,850,640",0.34%,-25.75%
Mutual/membership benefit,100.00%,1,"$253,915",18.10%,-60.48%
"Public, societal benefit",83.44%,157,"$219,203,281",3.47%,-49.78%
Religion-related,48.78%,41,"$32,480,915",10.43%,0.13%
Unclassified,80.95%,462,"$1,187,001,584",3.83%,-28.52%
Universities,80.00%,20,"$616,101,601",-2.85%,-12.32%
Total,79.38%,"2,304","$5,641,243,614",3.68%,-27.56%
